title,img,英文名称,批准文号,主要规格,用途,产品说明
苯甲酸雌二醇软膏,http://img1.pharmnet.com.cn/suppliers/product_cn/1823157_1.jpg,YTL,国药准字H20000701,1.5g:1.35mg,作为雌激素的补充剂，适用于与绝经有关的症状的对症治疗，如潮热、多汗、阴道干燥等。,"【英文名称】EstradiolBenzoateOintment-【批准文号】国药准字H20000701【适应症】作为雌激素的补充剂，适用于与绝经有关的症状的对症治疗，如潮热、多汗、阴道干燥等。【包装】铝塑包装，12支/盒。(1.5g软膏内含苯甲酸雌二醇1.35mg,相当于17-βE20.98mg)【用法用量】外用，每次1支涂于干净皮肤上（如手臂内侧、下腹部、腰部、臀和大腿等部位），每日1次，每月按月历1～24日连用，15～24日每日并用口服甲羟孕酮片4mg。【有效期】24个月【药理作用】1本品所含天然雌二醇的苯甲酸盐，具有雌二醇的药理作用。2促进和调节女性生殖器官和副性征的正常发育。雌二醇是育龄妇女体内卵巢分泌的受体水平活性最高的雌激素。3绝经后，卵巢功能衰竭，雌二醇的生成几乎停止，从而引起血管功能障碍，体温调节不稳定，临床表现为潮热、出汗、睡眠障碍、泌尿生殖系统萎缩及骨质疏松等症状。"
除湿止痒软膏,http://img1.pharmnet.com.cn/suppliers/product_cn/755841_1.jpg,,国药准字Z20050550,10g/支；20g/支,用于清热除湿，祛风止痒。用于急性、亚急性湿疹症属湿热或湿租型的辅助治疗。,
芪归蝮蛇胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1740687_1.jpg,,国药准字B20020923,0.3g,益气养血祛风通络用于气血不足经脉失养所致的体虚乏力眩晕心悸失眠腰膝酸痛关节肌肉劳损慢性风湿病腰腿痛中风偏瘫半身不遂中风后遗症更年期综合症等疾病,
慢肝养阴片,http://img1.pharmnet.com.cn/suppliers/product_cn/1740688_1.jpg,,国药准字Z20090257,片剂,慢肝养阴片具有显著抗炎、抗病毒、调节免疫细胞、有效清除肝炎病毒的作用，能加速修复损伤肝细胞，提高肝炎患者的免疫功能。,1、国家医保，强势临床用药；2、全国范围首次招商；3、选用地道药材配伍，薄膜衣片；4、中药制剂，吸收快、服用方便；5、区域保护严格，易操作、易上量。
布洛芬缓释胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1740128_1.jpg,,国药准字H31022720 （上海信谊天平药业有限公司生产）,0.3g*10粒,用于缓解轻中度疼痛，如头痛、牙疼、关节痛、偏头痛、肌肉痛、神经痛、痛经。也用于普通感冒或流行性感冒引起的发热,1.“芬必得”同类产品，极易替代；2.“芬必得”同样质量标准，制备工艺，质量可靠；3.市场极大，易上量；4.包装精美，易陈列！
脑蛋白水解物片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H31022990,6.5mg：14.4mg×24片；6.5mg：14.4mg×36片,各类颅脑损伤及颅脑手术后恢复期，脑病后遗症。,厂家少、剂量大、使用方便等
秦皮接骨片,http://img1.pharmnet.com.cn/suppliers/product_cn/1740690_1.jpg,,国药准字Z20090139,0.6g,活血散瘀，疗伤接骨，止痛。用于跌打，筋骨扭伤，瘀血肿痛,本品为薄膜衣片，除去薄膜衣后显黄白色至黄褐色；气微，味微苦。第48届全国新特药药品交易会2013年07月26-28日展位号：3A000
枣仁安神液,http://img1.pharmnet.com.cn/suppliers/product_cn/1823169_1.JPG,,国药准字Z20053366,10ml/支,"本品补心养肝,安神益智。用于心肝血虚,神经衰弱引起的失眠健忘、头晕、头痛等症。",【药品名称】枣仁安神液【成份】酸枣仁（炒）、丹参、五味子（醋制）。【功能主治】补心安神。用于失眠、头晕，健忘。中医学认为“心主神明”，将失眠健忘归结于心肝血虚，虚火上炎，上扰神明，头晕因虚火上炎，清明不升；头痛往往是钝痛，头重脚轻。治疗上采用：滋养肝肾阴血，安神。酸枣仁是传统的养心安神药物的主要成份，主要用于阴血亏虚，心失所养的失眠，心悸，健忘等症状。五味子具有保肝功效，能抗疲劳，改善人的智力活动，提高工作效率。丹参具有抗血栓形成，改善微循环，保护受损干细胞的恢复和再生。
盐酸左氧氟沙星胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1740127_1.jpg,,国药准字H20059633,0.1g,适用于敏感菌引起的：泌尿生殖系统感染，包括单纯性、复杂性尿路感染、细菌性前列腺炎、淋病奈瑟菌尿道炎或宫颈炎(包括产酶株所致者）,市场容量巨大，操作灵活
叶酸片,http://img1.pharmnet.com.cn/suppliers/product_cn/1823165_1.JPG,,国药准字H11020317,0.4mg/片,是妊娠期、哺乳期妇女的预防用药。妇女怀孕早期增补叶酸可降低神经管畸形的发生。,【名称】：叶酸片【成份】：主要成份为叶酸。【性状】：本品为黄色或橙黄色片【规格】：每片0.4毫克【作用】：叶酸是一种水溶性B族维生素，最初从菠菜叶子中分离提取出来，为机体细胞生长和繁殖的必需物质。【适应症】：是妊娠期、哺乳期妇女的预防用药。妇女怀孕早期增补叶酸可降低神经管畸形的发生。【用法】：妇女从怀孕前一个月至怀孕后三个月末增补叶酸预防神经管畸形的效果最好，此时是胎儿中枢神经的发育时期。由于我国育龄妇女体内叶酸水平普遍较低，而且妇女怀孕后体内叶酸水平将随孕期增加而逐步降低，因此妇女从结婚时或计划怀孕时开始服用，直到孕后三个月末比较合适，更早开始服用和延长服用时间对妇女本身也是有益的。经产妇再次怀孕时，也应从孕前1-3个月开始服用，以预防神经管畸形的发生，有条件的孕妇可在整个孕期和哺乳期坚持服用，以利母体健康，胎儿及新生儿的成长发育。【用量】：预防用：每日1-2片，漏服不补。每天最大服用量不宜超过2片。成人和儿童也可服用。剂量为每日1片。应严格控制每日的服用量，不可使用市售大剂量“叶酸片”（每片含叶酸5毫克），以避免对孕妇和胎儿产生不良作用。【不良反应】：偶见不良反应，罕见过敏反应。
苯磺酸氨氯地平片,http://img1.pharmnet.com.cn/suppliers/product_cn/1823167_1.JPG,,国药准字H20093856,5mg/片,治疗高血压病，可单独使用本品治疗也与其它抗高血压药物合用。治疗慢性稳定性心绞痛及变异心绞痛，可单独使用本品治疗也可与其它抗心绞痛药物合用。,【药品名称】通用名：苯磺酸氨氯地平片英文名：AmlodipineBesylateTablets汉语拼音名：BenhuangsuanAnlüdipingPian【成份】本品主要成份为苯磺酸氨氯地平，其化学名称为：3-乙基-5-甲基-2-（2-氨基乙氧甲基）-4-（2-氯苯基）-1，4-二氢-6-甲基-3，5-吡啶二羧酸酯苯磺酸盐。分子式：C20H25N2O5Cl
骨刺丸,http://img1.pharmnet.com.cn/suppliers/product_cn/1672128_1.jpg,,国药准字Z19983010,6克×20袋,祛风止痛。用于骨质增生、风湿性关节炎、风湿痛。产品优势：1、国家基本药物，医保甲类，市场空间广阔；2、剂型先进，服用方便，国内最小的水蜜丸剂型，每100丸重5g；3、起效迅速，直达筋骨，平衡修复，疗效可靠；4、安全无副作用、无药物依赖性。,①方便服用的水蜜丸剂与其它蜜丸剂型的骨刺丸不同，老专家牌骨刺丸是水蜜丸剂型，具有服用方便，易携带、易储存的优势，适用于各种环境、各种气侯条件下的患者服用。②市场广阔的医保品种骨刺在中老年人中的发病率极高，据权威资料介绍，40岁以上的人中超过51.7％的人患有不同程度的骨刺、骨质增生，所以老专家牌骨刺丸不但市场需求广阔，且由于是国家医保目录品种，更易于患者接受。
排石利胆颗粒,http://expo.pharmnet.com.cn/product/images/122397_1.jpg,,国药准字Z20053024,10克*12袋/盒,舒肝理气，利胆排石。用于胆囊炎胆结石。,
银花感冒颗粒(葆仁),http://expo.pharmnet.com.cn/product/images/122396_1.jpg,,国药准字Z42020170,20克*6袋/盒,清热，解表，利咽，用于感冒，头痛，咽喉肿痛。,
当归拈痛丸,http://img1.pharmnet.com.cn/suppliers/product_cn/1672127_1.jpg,,国药准字Z13020126,每袋装9g（每18粒重1g）,清热利湿、祛风止痛。用于风湿阻络，骨节疼痛，胸膈不利，或湿热下注，足胫红肿热痛，或溃破流脓水者，疮疡。【适用范围】1、痛风（活动期）、风湿类风湿性关节炎、骨质增生症、腰椎间盘突出症、颈椎病、等属风湿兼湿热诸症。2、湿疹、神经性皮炎、脓疱疮、臁疮、阴痒等皮肤病等属湿热诸症。3、血尿。对肾炎、泌尿感染、肾结石等属下焦湿热症。,1.国家中药保护品种。2.国家基本药物。3.中华中医药学会重点推广项目收录品种。4.万岁医药集团独家生产。著名专业骨科药物生产厂。5.骨科药物著名品牌“老专家”，大品牌，值得信赖。6.治疗湿热症的著名中药经典方剂，倍受中西医推崇。7.临床应用广泛，在骨病、风湿病、皮肤病、肾病等领域均有广泛应用，充分发挥临床资源潜力，操作易上量。8.丰富的临床应用资料，利于医生接受参考。9.药材道地，疗效显著，市场认可度高。10.重庆等市医保品种。
威灵骨刺膏,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字Z20000038,每贴净重12g；每贴净重36g；每贴净重48g  膏药,,
活血解痛膏,http://img1.pharmnet.com.cn/suppliers/product_cn/1672126_1.jpg,,国药准字Z20013016,9g×1张×200盒,祛风散寒，活血止痛。用于扭伤，挫伤，风湿骨痛，腰背酸痛。产品优势：1、最新一代黑膏，免烤直接贴敷；2、起效快，快速渗透，直达患处，强效镇痛；3、组方独特，透皮吸收更好，适用人群广泛；4、独家采用国内最先进的现代化膏药质量控制体系；5、临床产品，利润空间大；6、生产厂家少，易上量。,产品特点：1.膏药车间为国内第一家通过GMP认证的膏药生产车间保证了2.全国独家生产，利于产品的市场推广主。3.采用现代提取工艺精制而成，药物成分经过提取，有效成分含量高，透皮吸收迅速，效果显著。4.生产的膏药产品不用加温直接贴敷，开拓了黑膏药的先河。5.采用高级进口脱敏裱褙材料，贴用安全舒适。
来氟米特片,http://img1.pharmnet.com.cn/suppliers/product_cn/1672125_1.jpg,,国药准字H20080054,10mg×14片,适用于成人类风湿关节炎，有改善病情的作用。,1、国家一类新药，国家基本药物；2、国家医保乙类，在全国20个省市已进入医保药品目录；3、规格，符合医生处方习惯；4、第一个被FDA批准的延缓活动性类风湿性关节炎进程的口服药；5、新型的“多环节”免疫抑制剂，治疗类风湿性关节炎的“首选病程改善药”；6、第一个在中国发展的抗风湿改善病程化学药。同时也是第一个在中国和发达国家同步发展的突破性药物；7、权威机构临床验证，不良反应少，安全性高，长期服用疗效更持久；8、生产厂家少，易上量。
阿奇霉素颗粒,http://expo.pharmnet.com.cn/product/images/122387_1.jpg,,国药准字H20063107,0.1g×10袋/盒×240盒/件,本品用于治疗各种炎症及感染。,
中华肝灵胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/199914_1.jpg,,国药准字Z50020034,0.3×84粒/盒,用于慢性肝炎、肝硬化、肝纤维化、肝郁气滞血阻、积聚不消、两肋胀痛、食少便溏、舌有寒斑、脉涩无力者。,国家中药保护品种，十四年保护期，特含鳖甲、糖参等十二味药效成分，尤对中重度肝炎及肝纤维化疗效更佳。
橘半止咳颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/755683_1.jpg,,国药准字Z20026722,11g,润肺化痰，止咳定喘。用于痰多咳嗽，胸闷气促，咽干发痒等症,本品为棕黄色的颗粒；味甜，有清凉感
复方穿心莲片,http://img1.pharmnet.com.cn/suppliers/product_cn/755681_1.jpg,,国药准字Z51022498,每片重0.37g,清热解毒，利湿。用于风热感冒，咽喉疼痛，湿热泄泻等,本品为糖衣片，除去糖衣后显棕褐色至黑褐色；味苦
三鞭胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/755682_1.jpg,,国药准字Z20053687,每粒装0.3g,壮腰健肾，养血滋阴。用于阳痿遗精，腰肾酸痛，养血补血,本产品为胶囊剂，内容物为棕褐色的颗粒；味微苦、辛
复方板蓝根颗粒（无糖型）,http://img1.pharmnet.com.cn/suppliers/product_cn/755680_1.jpg,,国药准字Z20026817,每袋装3g,清热解毒。用于病毒性感冒，咽喉肿痛,本品为棕色或棕褐色的颗粒；味甜、微苦
复方庆大霉素膜,http://img1.pharmnet.com.cn/suppliers/product_cn/755679_1.jpg,,国药准字H35021423,每片(10cm2)含硫酸庆大霉素1000单位,适用于复发性口疮、创伤性口腔溃疡、痔疮引起的溃疡等疾病。还可用于皮肤创伤及皮肤溃疡。,【药理作用】本品为淡绿色透明的药膜，味甜、微苦，取略大于溃疡面药膜贴于患处，具有消炎止痛作用。【不良反应】尚未见有关不良反应报道。【注意事项】药膜敷贴后，舌尖或口腔黏膜有轻微麻木感觉是药物正常作用，作用过后即消失。【提示】为增加粘性，敷贴前可先将药膜粘点凉水；药膜敷贴稍有错位，亦不影响疗效；贴后可讲话，但尽量使口腔处于静止状态，最好在饭后或午休及晚睡前敷贴。【有效期】暂定2年。【生产单位】福州海王金象中药制药有限公司。【其他说明】专业治疗口腔溃疡，轻松一贴，立刻止痛。
酚麻美敏口服溶液(彤贝得),http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H20041491,100ml/瓶,用于治疗感冒引起的发热、头痛、流涕、鼻塞、咽痛、咳嗽等。,零售价：19.50元/瓶
九气拈痛胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字Z20010009,每粒装0.4g  胶囊剂,,
盐酸阿扎司琼注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,Azasetron Hydrochloride Injection,国药准字H20010105,2ml:10mg  注射剂,,
盐酸罗格列酮,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,Rosiglitazone Hydrochloride,国药准字H20041407,－－－－  原料药,,
磷酸替米考星,http://www.neophar.cn/uploadfile/product/123200894629PM.gif,,,企业标准 ≥75%,抗生素,CAS:137330-13-3外观:白色
盐酸头孢噻呋,http://www.neophar.cn/uploadfile/product/1232008113635PM.jpg,,,,抗生素,CAS:103980-44-5外观:白色或类白色粉末规格:企业标准
一清颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/1672623_1.JPG,,国药准字Z20023419,7.5g*9袋/盒,适应症：清热燥湿，泻火解毒，化淤止血。用于热毒所致的身热烦躁，目赤口疮，咽喉，牙龈肿痛，大便秘结等症及咽炎，扁桃体炎，牙龈炎见上述症者。亦可用于热盛迫血妄行所致吐血，咳血，鼻血，内痔出血等症。,一清颗粒源自《金匮要略》之泻心汤，乃医圣张仲景用治火毒、出血之传世名方，经石家庄四药现代先进工艺提纯精制，疗效确切，是目前市场上清热、泻火、解毒，治疗各种急、慢性炎症及口舌生疮、咽炎出血的首选用药。对西药抗生素产生耐药性的感染性疾病亦有确切疗效。适应人群：1．烟酒过量，长期用嗓的文教、传媒人员。2．外感热毒，及情绪波动引起的咽肿、失音、变声等喉痹患者。3．慢性咽炎反复不愈者。4．火毒血热引起的目赤鼻痛、口舌生疮、牙龈肿痛、头面生疖、小便刺痛者。5．火毒血热引起的各种口鼻出血、牙龈出血、痔疮出血等。
肠康胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1672264_1.gif,,国药准字Z20000131,每粒装0.23g，每粒含盐酸小檗碱0.05g,清热燥湿、理气止痛。用于湿热泄泻，痢疾腹痛，里急后重。,全国独家、医保乙类、四类新药、中药保护品种、非处方药
银黄胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/1672624_1.gif,,国药准字Z20033173,0.3g*12粒/盒,中药—抗感染药物—呼吸系统药物,"银黄胶囊---中药抗菌，安全有效，被誉为“中药抗生素”1、本品是优选金银花、黄芩两味经典中药，经现代生产工艺精制而成的清热解毒类中成药制剂。金银花和黄芩均为临床最常用的清热药。金银花具有清热解毒、凉散风热的功效，黄芩可清热燥湿，泻火解毒。现代药理研究证实，银黄胶囊能显著抑制引起急慢性扁桃体炎、急慢性咽喉炎及其他上呼吸道感染的病毒和细菌，并具有抗炎、解热、抗过敏等多种作用，可有效缓解发热头疼、咽喉肿痛、咳嗽咯痰等上感症。2、国家医保产品,OTC甲类,国家基本药物,中药抗菌，安全有效，被誉为“中药抗生素”。3、纯中药抗病毒、抗感染：有效杀灭导致上呼吸道感染的病毒，迅速消炎，更安全。最高零售价：18元/盒成份：金银花提取物，黄芩提取物用法用量：口服一次2~4粒，一日4次。"
白带片,http://img1.pharmnet.com.cn/suppliers/product_cn/1672253_1.jpg,,国药准字Z13021943,0.2g*36片,健脾燥湿，用于白带浊下，大便溏泻。,妇科用药，中成药。生产企业：河北永丰药业有限公司
调经姊妹丸,http://img1.pharmnet.com.cn/suppliers/product_cn/1672254_1.jpg,,国药准字Z13021946,6.4g*10袋,活血调经，逐瘀生新。用于气泄血瘀所致经血不调，行经腹痛。,妇科用药。生产厂家少，纯中药制剂，易中标。
血速升颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/1672255_1.jpg,,国药准字Z13020367,每袋装10g,益气温阳，养血活血。用于气血亏虚引起的贫血。,"全国独家国家中药保护品种，独家生产,易中标血速升颗粒为纯中药制剂，利用优质的天然药材，运用现代科学技术，提取精制而成。以平补气血为主。"
醋酸氯已定溶液(爱尔士),http://img1.pharmnet.com.cn/suppliers/product_cn/1672256_1.jpg,,国药准字H61023551,50mg*4支,适用于皮肤及黏膜的消毒；创面感染阴道感染和子宫颈糜烂的冲洗。,国药准字无色无味无刺激带冲洗器使用方便适用于皮肤及黏膜的消毒；创面感染阴道感染和子宫颈糜烂的冲洗。
胶体果胶铋胶囊(成美),http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H20033517,"50mg×24粒,100mg×24粒",用于治疗胃炎及十二指肠等消化性溃疡,零售价:20.00元/盒34.00元/盒
复方肝水解物片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H31022791,复方,用于慢性肝炎肝硬化等肝病的辅助治疗。,零售价：58.00元/盒
五氟利多片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H43021061,20mg*20s 200盒/件,【适应症】对幻觉妄想、孤僻、淡漠、退缩等症状有效。适用于急、慢性各型精神分裂症，尤其便于长期服药维持治疗，防止复发。,【适应症】对幻觉妄想、孤僻、淡漠、退缩等症状有效。适用于急、慢性各型精神分裂症，尤其便于长期服药维持治疗，防止复发。【用法和用量】口服治疗剂量范围20~120mg，一周一次。宜从每周10~20mg开始，逐渐增量，每一周或两周增加10mg~20mg，以减少锥体外系反应。通常治疗量为一周30~60mg，待症状消失用原剂量继续巩固3个月，维持剂量一周10~20mg。【药物相互作用】本品与乙醇或其他中枢神经系统抑制药合用，中枢抑制作用增强。本品与抗高血压药合用，有增加直立性低血压的危险。【药物过量】中毒症状：主要毒性反应为心肌受损及干扰心内传导，出现严重心律不齐、胸闷、气憋等。处理：本品作用时间长，超量中毒时应特别注意对症治疗及支持疗法，无特殊解毒药。
盐酸苯海索片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H43021062,2mg*100s 600瓶/件,用于帕金森病、帕金森综合症。也可用于药物引起的锥体外系疾患,"【性状】本品为白色片【成份】本品活性成份为盐酸苯海索口服帕金森病、帕金森综合征，开始一日1~2mg，以后每3~5日增加2mg,至疗效最好而又不出现副反应为止，一般一日不超过10mg，分3~4次服用，须长期服用。极量一日20mg。药物诱发的锥体外系疾患，第一日2~4mg，分2~3次服用，以后视需要及耐受情况逐渐增加至5~10mg。老年患者应酌情减量。【孕妇及哺乳期妇女用药】慎用。【儿童用药】慎用。【老年患者用药】老年人长期应用容易促发青光眼。伴有动脉硬化者，对常用量的抗帕金森病药容易出现精神错乱、定向障碍、焦虑、幻觉及精神病样症状。应慎用。"
奥拉米特片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H43021772,0.1g×20s 300盒/件,用于急慢性肝炎脂肪肝和肝硬化的辅助治疗缓解酒精性肝炎的症状,酒前酒后来2片有效缓解酒精肝奥拉米特片产品优势类别奥拉米特片其他解酒产品产品性质解酒护肝产品，具有解酒功效，无副作用多为保健品或食品，无实际解酒功能产品功能解酒护肝效果好，有效解酒人数比例95%以上大多数人解酒效果一般生产工艺独家专利保护品种工艺简单粗糙起效时间半个小时解酒起效12-48小时，解酒起效慢品牌宣传忠诚消费者多重复购买者少【药理作用】★本品在胃肠液中分解成等分子4-氨基-5-咪唑酰胺(AICA)和乳清酸(维生素B13)AICA是嘌呤前体物质等分子盐使AICA能顺利地结合于肝细胞核酸中阻止肝实质细胞的坏死和刺激肝细胞的再生不导致核酸代谢的不平衡矫正不正常的蛋白质脂肪和碳水化合物的代谢★在急性肝损害时能防止肝纤维化的发展★具有强力的抗脂肪肝的活性★可改进脂肪的消化和吸收并助长维生素A和K的吸收【毒理】以小白鼠40只腹腔给药按冠氏法计算LD50703.0mg/kg平均可信限：591-815mg/kg(P=0.05)对家兔小白鼠大白鼠灌饲给药连续6个月没有发现畸胎的明显差别
复方丙谷胺片,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,,国药准字H43021985,复方 36片/瓶 120瓶/件,用于胃及十二指肠溃疡，慢性浅表性胃炎，十二指肠球炎,【药物相互作用】若与其他抗溃疡药物如H2受体拮抗剂同时使用，可加强一直胃酸分泌作用而加速溃疡的愈合【药理毒理】本品种宾馆为胃泌素受体拮抗剂，因而能够明显抑制胃泌素引起的胃酸和胃蛋白酶分泌，斌对胃粘膜有保护盒促进愈合作用，能敢删消化性溃疡的症状和促使溃疡愈合，本品尚具有利胆作用，甘草浸膏具有补脾益气，清热解毒作用，白芍浸膏具有平肝止痛作用
去感热注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/1678300_1.JPG,QUGANREZHUSHEYE,国药准字Z51020188,2ml×6支,清热解毒、发汗解表。用于上呼吸道感染引起的高热症。,五大优势：1、中药制剂，抗炎抑菌安全、有效，无明显毒副作用：2、可广泛用于各种原因引起的高热症，效果快速持久：3、对急性上呼吸道感染、化脓性扁桃体炎、肺炎等疗效确切：4、适宜儿科用药：5、运用先进的指纹图谱，提高去感热注射液内在物质基础的一致性、安全性和质量水平：
去感热口服液,http://img1.pharmnet.com.cn/suppliers/product_cn/no1.jpg,QUGANRE KOUFUYE,国药准字Z20080189,10ml×6支,清热解毒、发汗解表。用于上呼吸道感染引发的发热症.,五大优势：1、全国独家、最新上市品种；2、中药制剂，抗炎抑菌安全、有效，无明显毒副作用；3、可广泛用于多种原因引起的发热症，效果快速持久；4、适宜儿科用药；5、运用先进的指纹图谱，提高去感热口服液内在物质基础的一致性、安全性和质量水平。
