entity1,relation,entity2
盲肠肉芽肿,并发症,阿米巴肠病
烧伤,并发症,脓毒症
盲肠肉芽肿,并发症,阿片类药物中毒
盲肠肉芽肿,并发症,阿米巴肝脓肿
烧伤休克,并发症,代谢性酸中毒
淋病,并发症,盆腔炎
淋病,并发症,尿道炎
淋病,并发症,尿道狭窄
淋病,并发症,前列腺炎
麻疹,并发症,支气管扩张
麻疹,并发症,心包炎
淋病,并发症,附睾炎
色素绒毛结节性滑膜炎,并发症,骨巨细胞瘤
麻疹,并发症,脱水
盲肠肉芽肿,并发症,巴瑞特综合征
伸指肌腱损伤,并发症,关节脱位
麻疹,并发症,呼吸道合胞病毒感染
慢性扁桃体炎,并发症,支气管炎
麻疹,并发症,肺脓肿
麻疹,并发症,脓胸
慢性扁桃体炎,并发症,鼻窦炎
少年性椎体骨软骨病,并发症,椎弓结核
淋病,并发症,盆腔脓肿
慢性扁桃体炎,并发症,中耳炎
麻疹,并发症,中耳炎
肝脏血管瘤,并发症,肝癌
肝脏外伤,并发症,应激性溃疡
肝性卟啉病,并发症,便秘
宫颈微小型浸润癌,并发症,宫颈浸润癌
肝性卟啉病,并发症,腹胀
肝炎病毒相关风湿病,并发症,再生障碍性贫血
肝硬化性肾损害,并发症,肝硬化腹水
腺样体炎,并发症,风湿热
肝硬化性肾损害,并发症,肺炎
肝硬化性肾损害,并发症,腹膜炎
血清抗精子抗体阳性之不孕症,并发症,不孕不育
先天性小耳畸形,并发症,脑积水
先天性小耳畸形,并发症,髋关节脱位
先天性耳前瘘管,并发症,脓肿
腺样体炎,并发症,风湿性关节炎
腺样体炎,并发症,支气管炎
原发性甲状腺恶性淋巴瘤,并发症,结节性甲状腺肿
腺样体炎,并发症,中耳炎
原发性混合型冷球蛋白血症性血管炎,并发症,克罗恩病
腺样体炎,并发症,鼻窦炎
肝硬化性肾损害,并发症,骨折
肝硬化性肾损害,并发症,肝性脑病
先天性小耳畸形,并发症,腭裂
小儿麻疹,并发症,肺炎
肝硬化性肾损害,并发症,肝肾综合征
心内膜垫缺损,并发症,二尖瓣关闭不全
肝炎病毒相关风湿病,并发症,慢性肾功能衰竭
肝炎病毒相关风湿病,并发症,慢性肾炎
肝脏血管瘤,并发症,腹胀
肝脏外伤,并发症,贫血
肝脏外伤,并发症,败血症
肝炎病毒相关风湿病,并发症,腹水
肝脏外伤,并发症,胆道出血
肝脏外伤,并发症,胆汁性腹膜炎
原发性腹膜癌,并发症,腹胀
原发性高脂蛋白血症与黄瘤增生病,并发症,尿崩症
原发性高血压,并发症,主动脉夹层
组织胞浆菌病,并发症,疤痕
真菌性角膜炎,并发症,青光眼
组织胞浆菌病,并发症,多重肺部感染
原发性腹膜癌,并发症,腹痛
原发性高血压,并发症,短暂性脑缺血发作
着色真菌病,并发症,脓肿
中心性浆液性脉络膜视网膜病变,并发症,脉络膜出血
中间型链球菌感染,并发症,蜂窝织炎
神经性关节病,并发症,骨质疏松
周边葡萄膜炎,并发症,水肿
中间型链球菌感染,并发症,肝脓肿
神经卡压综合征,并发症,水肿
中间型链球菌感染,并发症,腹膜炎
中间型链球菌感染,并发症,脑脓肿
肝脏血管瘤,并发症,腹痛
中间型链球菌感染,并发症,肺脓肿
中毒性弱视,并发症,屈光不正
中间型链球菌感染,并发症,盆腔脓肿
周边葡萄膜炎,并发症,白内障
原发性单克隆球蛋白病肾损害,并发症,贫血
消化道溃疡,并发症,胃出血
原发性高血压,并发症,冠心病
锰中毒,并发症,痴呆
松毛虫性骨关节病,并发症,水肿
松毛虫性骨关节病,并发症,肿胀
原发性高血压,并发症,高血压脑病
淋菌性肛门直肠炎,并发症,尿道狭窄
麻风病,并发症,周围神经损伤
上颌窦癌,并发症,颈淋巴结结核
视网膜病变,并发症,视网膜裂孔
视网膜病变,并发症,视网膜脱落
淋菌性肛门直肠炎,并发症,盆腔炎
肛窦炎及肛乳头炎,并发症,肛门瘙痒症
肛窦炎及肛乳头炎,并发症,腹痛
肛窦炎及肛乳头炎,并发症,腹胀
干眼,并发症,角膜溃疡
高温引起的溶血性贫血,并发症,贫血
松毛虫性骨关节病,并发症,红斑
高温引起的溶血性贫血,并发症,高血压
视网膜病变,并发症,糖尿病
高温引起的溶血性贫血,并发症,心包炎
淋菌性肛门直肠炎,并发症,不孕不育
老年眩晕,并发症,脑栓塞
老年眩晕,并发症,中风
锁骨骨折,并发症,臂丛神经损伤
枢椎齿状突骨折,并发症,瘫痪
神经纤维瘤,并发症,皮肤纤维瘤
松毛虫性骨关节病,并发症,骨关节炎
老年眩晕,并发症,脑出血
高原性心脏病,并发症,高血压
虚寒泄泻,并发症,腹痛
虚喘,并发症,咳嗽
汞及其化合物引起的皮肤病,并发症,口腔炎
小儿维生素B2缺乏病,并发症,贫血
息积,并发症,腹胀
蟹睛,并发症,圆翳内障
小儿维生素B2缺乏病,并发症,虹膜炎
小儿头疖,并发症,毛囊炎
小儿疳痢,并发症,脾虚泄泻
小儿热疮,并发症,疱疹
小儿头疖,并发症,疔疮
原发气管支气管肿瘤,并发症,肺不张
汞及其化合物引起的皮肤病,并发症,精神障碍
性交晕厥,并发症,尿失禁
小儿热疮,并发症,脑膜炎
幼年性黄色肉芽肿,并发症,青光眼
幼年性透明纤维瘤病,并发症,智力低下
着色芽生菌病和暗色丝孢霉病,并发症,皮肤瘙痒症
幼年型皮肌炎,并发症,黄疸
职业黑变病,并发症,恶心和呕吐
真菌性角膜溃疡,并发症,虹膜炎
志贺菌病,并发症,溶血尿毒症综合征
胫后神经损伤,并发症,高弓足
经行舌麻,并发症,贫血
沙眼,并发症,泪道阻塞
幼年型皮肌炎,并发症,麻痹性肠梗阻
视网膜静脉周围炎,并发症,青光眼
沙眼,并发症,慢性泪囊炎
沙眼,并发症,倒睫
视网膜动脉阻塞,并发症,青光眼
脂溢性皮炎,并发症,痤疮
视网膜动脉阻塞,并发症,新生血管性青光眼
视网膜静脉周围炎,并发症,视网膜脱离
幼年型皮肌炎,并发症,吞咽困难
上隐斜,并发症,睑缘炎
水杨酸类中毒,并发症,呼吸衰竭
色盲,并发症,先天性眼球震颤
磷中毒,并发症,肺水肿
氯丙嗪类中毒,并发症,吞咽困难
淋巴炎,并发症,皮肤黏膜淋巴结综合征
颅狭症,并发症,脑膜炎
雷诺病,并发症,败血症
颅狭症,并发症,急性肺水肿
颅狭症,并发症,癫痫
高血压病伴发的精神障碍,并发症,糖尿病
感染性心内膜炎肾损害,并发症,败血症
感染性心内膜炎肾损害,并发症,脓肿
高血压病伴发的精神障碍,并发症,冠心病
感染性心内膜炎肾损害,并发症,动脉瘤
流行性感冒,并发症,昏迷
流行性感冒,并发症,鼻窦炎
颅狭症,并发症,腭裂
流行性感冒,并发症,扁桃体炎
颅狭症,并发症,唇裂
轮状病毒所致胃肠炎,并发症,病毒性心肌炎
高血压病伴发的精神障碍,并发症,高血脂
轮状病毒所致胃肠炎,并发症,肺炎
感染性心内膜炎肾损害,并发症,急进性肾炎
轮状病毒所致胃肠炎,并发症,脱水
水杨酸类中毒,并发症,昏迷
手足口病,并发症,脑膜炎
轮状病毒所致胃肠炎,并发症,溶血尿毒综合征
手足口病,并发症,头痛
疝气,并发症,肠梗阻
轮状病毒所致胃肠炎,并发症,肠套叠
磷中毒,并发症,周围神经炎
胸、腰椎爆裂骨折,并发症,脊髓损伤
血栓性浅静脉炎,并发症,败血症
蕈样真菌病和Sezary综合征,并发症,败血症
血栓性静脉炎,并发症,淤积性皮炎
血管球瘤,并发症,营养不良
戈登综合征,并发症,高血压肾病
血栓性静脉炎,并发症,肺栓塞
须癣,并发症,灰指甲
发疱性甲虫皮炎,并发症,头痛
高血压性心肌病,并发症,猝死
蕈样真菌病和Sezary综合征,并发症,红皮病
血栓性静脉炎,并发症,血栓形成
血小板促凝活性异常,并发症,血栓形成
胸腺类癌,并发症,重症肌无力
肺地丝菌病,并发症,败血症
福克斯-阜太斯病,并发症,汗管瘤
福克斯-阜太斯病,并发症,外阴皮肤脂溢性皮炎
鲜红斑痣,并发症,小儿血管瘤
骨质软化症与佝偻病,并发症,喉痉挛
骨质软化症与佝偻病,并发症,小儿维生素D缺乏性手足搐搦症
福克斯-阜太斯病,并发症,外阴汗管瘤
原发性小肠溃疡,并发症,腹痛
原发性小肠淋巴管扩张症,并发症,水肿
蜂螫伤,并发症,恶心和呕吐
原发性小肠溃疡,并发症,贫血
原发性食管恶性黑色素瘤,并发症,吞咽困难
反社会人格障碍(病态人格),并发症,品行障碍
蜂螫伤,并发症,昏厥
真菌性食管炎,并发症,败血症
直肠炎,并发症,缺铁性贫血
中枢神经系统淋巴瘤,并发症,恶心和呕吐
原发性小肠溃疡,并发症,便血
真菌性食管炎,并发症,食管狭窄
原发性纤维蛋白溶解症,并发症,便血
直肠炎,并发症,肛管、直肠、结肠狭窄
原发性纤维蛋白溶解症,并发症,颅内出血
原发性小肠溃疡,并发症,肠梗阻
原发性巨球蛋白血症,并发症,贫血
原发性巨球蛋白血症,并发症,肾功能不全
真菌性食管炎,并发症,食管穿孔
椎动脉创伤性栓塞,并发症,共济失调
直肠炎,并发症,肛窦炎
脂蛋白肾小球病,并发症,高脂血症
直肠内套叠,并发症,便秘
颈型颈椎病,并发症,耳聋
真两性畸形,并发症,尿道下裂
真两性畸形,并发症,腹股沟疝
颈型颈椎病,并发症,植物神经功能紊乱
蛰伏脂瘤,并发症,恶性黑色素瘤
颈型颈椎病,并发症,中风
颈椎骨折伴脱位的损伤,并发症,脊髓损伤
久疟,并发症,疟疾
枕骨大孔脑膜瘤,并发症,延髓性麻痹
视网膜母细胞瘤,并发症,青光眼
痉病,并发症,气虚自汗
上颌窦恶性肿瘤,并发症,肿胀
筛窦恶性肿瘤,并发症,脑膜炎
视网膜母细胞瘤,并发症,视网膜脱离
筛窦恶性肿瘤,并发症,脑脓肿
颈型颈椎病,并发症,高位截瘫
颈神经背支卡压症,并发症,肩胛上神经卡压症
生殖器念珠菌病,并发症,糖尿病
结膜炎,并发症,瘢痕性睑内翻
生殖器念珠菌病,并发症,外阴炎
颈型颈椎病,并发症,神经衰弱
生殖器念珠菌病,并发症,复发性外阴阴道念珠菌病
经行泄水,并发症,贫血
颈椎椎体楔形压缩骨折,并发症,脊髓损伤
输卵管妊娠,并发症,持续性输卵管妊娠
胫骨应力骨折,并发症,骨折
筛窦恶性肿瘤,并发症,脑脊液鼻漏
生殖器念珠菌病,并发症,红斑
视网膜母细胞瘤,并发症,玻璃体混浊
输卵管妊娠,并发症,腹膜后间隙出血
马桑果中毒,并发症,呼吸衰竭
毛发上皮瘤,并发症,细菌感染
手部肌腱损伤,并发症,水肿
神经瘤,并发症,颅内肿瘤
老年痴呆,并发症,骨折
流行性出血热,并发症,脱水
类风湿性关节炎肾损害,并发症,偏瘫
上皮样肉瘤,并发症,气胸
肝血管平滑肌脂肪瘤,并发症,腹痛
流行性出血热,并发症,败血症
狼疮性肾炎,并发症,心血管疾病
神经瘤,并发症,癫痫
肝结核,并发症,腹痛
肝结核,并发症,腹膜炎
骨神经鞘瘤,并发症,骨折
肝结核,并发症,肝脓肿
肝结核,并发症,脾功能亢进
肝结核,并发症,脂肪肝
冠状病毒感染,并发症,肺炎
冠状病毒感染,并发症,中耳炎
冠状病毒感染,并发症,慢性支气管炎
输卵管粘连,并发症,腹痛
肝结核,并发症,黄疸
肝结核,并发症,腹部肿块
肝结核,并发症,腹水
流行性出血热,并发症,脑膜炎
旅游者腹泻,并发症,贫血
流行性出血热,并发症,肺水肿
老年痴呆,并发症,便秘
庚型病毒性肝炎,并发症,肝硬化
庚型病毒性肝炎,并发症,慢性肝炎
老年痴呆,并发症,褥疮
雷诺综合征,并发症,失眠
类风湿性关节炎肾损害,并发症,慢性肾炎
链球菌感染后的急性肾小球肾炎,并发症,高血压脑病
胸骨骨髓炎,并发症,贫血
钩虫性十二指肠炎综合征,并发症,贫血
新生儿泌尿系统感染,并发症,黄疸
新生儿迁延性胆汁淤积性黄疸,并发症,败血症
新生儿迁延性胆汁淤积性黄疸,并发症,肺炎
新生儿寒冷损伤综合征,并发症,弥漫性血管内凝血
新生儿迁延性胆汁淤积性黄疸,并发症,脾功能亢进
钩虫性十二指肠炎综合征,并发症,钩虫病
新生儿低钠血症,并发症,昏迷
膈先天性缺损,并发症,食管裂孔疝
副球孢子菌病,并发症,肺气肿
放线菌病,并发症,肺脓肿
放线菌病,并发症,败血症
新生儿迁延性胆汁淤积性黄疸,并发症,肝硬化
肺结核,并发症,支气管扩张
风疹,并发症,中耳炎
放线菌病,并发症,骨膜炎
肺结核,并发症,脓胸
风疹,并发症,便血
新生儿低钠血症,并发症,低渗性脱水
新生儿先天性胆道闭锁,并发症,贫血
肺吸虫病,并发症,脓肿
新生儿先天性胆道闭锁,并发症,肝硬化
新生儿咽下综合征,并发症,脱水
肺结核,并发症,气胸
膈先天性缺损,并发症,肠梗阻
新生儿咽下综合征,并发症,电解质紊乱
骨质疏松,并发症,骨折
钩虫性十二指肠炎综合征,并发症,皮炎
膈先天性缺损,并发症,腹裂
新生血管性青光眼,并发症,前房积血
原发性脾淋巴瘤,并发症,腹水
肥大性龈炎,并发症,牙周脓肿
原发性皮肤免疫细胞瘤,并发症,白血病
支气管发育不全,并发症,呼吸道感染
支气管发育不全,并发症,肺气肿
早期乳腺癌,并发症,贫血
早期乳腺癌,并发症,乳头内陷
肺结核,并发症,慢性肺源性心脏病
幼年型慢性粒细胞白血病,并发症,贫血
肥大性龈炎,并发症,牙周炎
原发性脾淋巴瘤,并发症,腹痛
原发性腮腺淋巴瘤,并发症,恶性淋巴瘤
原发性皮肤免疫细胞瘤,并发症,干燥综合征
原发性乳腺淋巴瘤,并发症,乳房肿块
原发性脾淋巴瘤,并发症,脾破裂
肺静脉异位引流,并发症,肺水肿
幼年型慢性粒细胞白血病,并发症,黄瘤
肺静脉异位引流,并发症,肺动脉高压
氟骨症,并发症,骨质增生
氟牙症,并发症,腹泻
早期婴儿型癫痫性脑病,并发症,婴儿痉挛症
掌指骨结核,并发症,脓肿
输卵管粘连,并发症,子宫内膜异位症
真菌过敏性哮喘,并发症,气胸
蔗尘肺,并发症,呼吸系统疾病伴发的精神障碍
真菌过敏性哮喘,并发症,肺不张
蔗尘肺,并发症,肺纤维化
真菌过敏性哮喘,并发症,纵隔气肿
脊柱脊髓伤,并发症,褥疮
脊柱脊髓伤,并发症,呼吸道感染
食物变应性和不耐受性,并发症,水肿
急性粒细胞缺乏,并发症,败血症
结节性液化性脂膜炎,并发症,胰腺炎
局限性胸膜间皮瘤,并发症,肺不张
静脉曲张综合征,并发症,血栓性静脉炎
颈椎间盘突出症,并发症,瘫痪
颈椎椎管狭窄症,并发症,瘫痪
掌跖纤维瘤病,并发症,癫痫
掌跖纤维瘤病,并发症,肝硬化
掌跖纤维瘤病,并发症,糖尿病
局限性胸膜间皮瘤,并发症,咳嗽
增生性毛根鞘瘤,并发症,尿路真菌感染
手掌深部间隙感染,并发症,脓肿
手掌深部间隙感染,并发症,败血症
巨细胞病毒性肺炎,并发症,多重肺部感染
腱病,并发症,骨关节炎
食物变应性和不耐受性,并发症,过敏性休克
慢性细菌性前列腺炎,并发症,膀胱颈挛缩
慢性细菌性前列腺炎,并发症,尿路感染
嗜铬细胞瘤,并发症,高血压脑病
嗜铬细胞瘤,并发症,高血压
Ⅳ型超敏反应性疾病,并发症,肺炎
松果体瘤,并发症,尿崩症
慢性细菌性前列腺炎,并发症,附睾炎
慢性细菌性前列腺炎,并发症,前列腺结石
松果体瘤,并发症,低钠血症
老年急性阑尾炎,并发症,腹膜炎
蓝色橡皮泡痣综合症,并发症,贫血
淋巴结-胆道综合征,并发症,胆石症
硫化氢中毒,并发症,肺炎
郎-奥韦综合征,并发症,艾滋病
硫化氢中毒,并发症,肺水肿
硫化氢中毒,并发症,昏迷
硫化氢中毒,并发症,头痛
硫化氢中毒,并发症,共济失调
赖利-戴综合征,并发症,脱水
淋巴结-胆道综合征,并发症,胆囊炎
卵巢囊肿,并发症,腹痛
肝血管瘤,并发症,肝囊肿
卵巢囊肿,并发症,溶血性贫血
肝损伤,并发症,胆汁性腹膜炎
卵巢囊肿,并发症,黄体囊肿
心房内传导阻滞,并发症,脑梗塞
心房内传导阻滞,并发症,阿-斯综合征
心包切开术后综合征,并发症,缩窄性心包炎
小脑幕脑膜瘤,并发症,脑膜炎
小脑幕脑膜瘤,并发症,脑水肿
肝损伤,并发症,腹腔脓肿
肝腺瘤,并发症,肝癌
小脑幕脑膜瘤,并发症,脑干损伤
肝外胆管损伤,并发症,腹膜炎
小颌畸形综合征,并发症,中耳炎
心房内传导阻滞,并发症,猝死
小颌畸形综合征,并发症,肺不张
小颌畸形综合征,并发症,肺动脉高压
小颌畸形综合征,并发症,肺心病
肝囊肿,并发症,黄疸
膈下脓肿,并发症,贫血
肝囊肿,并发症,脾大
Ⅳ型超敏反应性疾病,并发症,甲状腺炎
肝损伤,并发症,膈下脓肿
膈下脓肿,并发症,肠瘘
肝腺瘤,并发症,失血性休克
肝包虫囊肿,并发症,过敏性休克
小儿椎管内肿瘤,并发症,脑膜炎
小儿侏儒-视网膜萎缩-耳聋综合征,并发症,瘫痪
痱子,并发症,毛囊炎
小儿脂肪吸收不良,并发症,营养不良
小脑幕脑膜瘤,并发症,失语症
分裂情感性精神病,并发症,躁狂症
复发性髌骨脱位,并发症,骨关节炎
小儿侏儒-视网膜萎缩-耳聋综合征,并发症,小儿惊厥
腹腔妊娠,并发症,腹膜炎
肺动脉瓣关闭不全,并发症,肺动脉高压
法洛三联症,并发症,肺动脉高压
反应性精神病,并发症,癫痫
小儿脂肪吸收不良,并发症,发育迟缓
小儿中暑和暑热症,并发症,脱水
蜂窝织炎,并发症,水肿
小儿中暑和暑热症,并发症,脑水肿
痢疾后综合症,并发症,心内膜炎
蜂窝织炎,并发症,败血症
腹腔妊娠,并发症,腹腔脓肿
小儿阻塞性睡眠呼吸暂停,并发症,呼吸衰竭
小儿中暑和暑热症,并发症,代谢性酸中毒
小儿阻塞性睡眠呼吸暂停,并发症,肺心病
小儿阻塞性睡眠呼吸暂停,并发症,高血压
小儿阻塞性睡眠呼吸暂停,并发症,肺水肿
小儿阻塞性睡眠呼吸暂停,并发症,充血性心力衰竭
鹦鹉热,并发症,肺水肿
婴儿指趾纤维瘤病,并发症,败血症
婴儿黑矇性痴呆,并发症,瘫痪
增生性玻璃体视网膜病变,并发症,视网膜脱离
鹦鹉热,并发症,心内膜炎
婴儿黑矇性痴呆,并发症,共济失调
鹦鹉热,并发症,肺炎
硫化氢中毒,并发症,谵妄
直肠膨出,并发症,肛裂
坐骨疝,并发症,肠梗阻
鹦鹉热衣原体肺炎,并发症,脓胸
直肠膨出,并发症,尿潴留
直肠膨出,并发症,直肠阴道瘘
婴儿肢端脓皮病,并发症,脓毒症
婴儿黑矇性痴呆,并发症,黄斑变性
肌张力不全型脑瘫,并发症,共济失调
颈部火器性异物,并发症,败血症
注意缺陷障碍,并发症,自闭症
颈部火器性异物,并发症,昏迷
急性咽炎,并发症,脓肿
肌张力不全型脑瘫,并发症,偏瘫
角膜基质炎,并发症,耳聋
假性肠梗阻,并发症,营养不良
左心房心律,并发症,低血压
急性咽炎,并发症,喉炎
肩峰下滑囊炎,并发症,肘关节强直与纤维性僵硬
假性肠梗阻,并发症,贫血
假性肠梗阻,并发症,吞咽困难
假性肠梗阻,并发症,尿潴留
急性咽炎,并发症,鼻窦炎
神经衰弱,并发症,头痛
胫前黏液水肿,并发症,老年人甲状腺功能亢进症
鹦鹉热衣原体肺炎,并发症,肝炎
神经衰弱,并发症,植物神经功能紊乱
神经梅毒,并发症,脑梗塞
急性咽炎,并发症,中耳炎
神经梅毒,并发症,脑萎
肌张力不全型脑瘫,并发症,癫痫
神经梅毒,并发症,脑积水
肌张力不全型脑瘫,并发症,屈光不正
肌张力不全型脑瘫,并发症,小儿言语和语言障碍
急性化脓性胃炎,并发症,感染性休克
重复尿道,并发症,尿道狭窄
肌张力不全型脑瘫,并发症,智力低下
浆细胞性唇炎,并发症,浆细胞瘤
神经衰弱,并发症,睡眠障碍
角膜基质炎,并发症,视网膜炎
肌张力不全型脑瘫,并发症,听力障碍
神经鞘瘤,并发症,共济失调
三叉神经痛,并发症,高血压
老年甲状腺功能减退症,并发症,水肿
肾癌,并发症,高血压
老年甲状腺功能减退症,并发症,昏迷
肾癌,并发症,贫血
神经鞘瘤,并发症,脑脊液漏
神经鞘瘤,并发症,面神经损伤
损伤性休克,并发症,播散性血管内凝血
淋病性关节炎,并发症,滑膜炎
食管裂孔疝,并发症,胃溃疡
食管裂孔疝,并发症,胃扭转
卵巢黏液性肿瘤,并发症,肠梗阻
类风湿性关节炎的肾损害,并发症,偏瘫
类风湿性关节炎的肾损害,并发症,胰腺炎
淋巴瘤细胞白血病,并发症,腹水
类风湿性关节炎的肾损害,并发症,弥散性血管内凝血
联合免疫缺陷病,并发症,共济失调
联合免疫缺陷病,并发症,糖尿病
联合免疫缺陷病,并发症,巨细胞病毒感染
联合免疫缺陷病,并发症,风疹
良性头部组织细胞增生症,并发症,丘疹性血管增生
链球菌坏死,并发症,败血症
卵巢黏液性肿瘤,并发症,腹痛
联合免疫缺陷病,并发症,红皮病
卵巢黏液性肿瘤,并发症,腹胀
食管裂孔疝,并发症,反流性食管炎
联合免疫缺陷病,并发症,溶血性贫血
慢性化脓性腮腺炎,并发症,肿胀
类固醇5α-还原酶2缺乏综合征,并发症,睾丸女性化
慢性筛窦炎,并发症,脑脓肿
慢性筛窦炎,并发症,脑膜炎
慢性乳突炎,并发症,脑脊液漏
慢性筛窦炎,并发症,鼻出血
卵巢黏液性肿瘤,并发症,腹膜假黏液瘤
慢性筛窦炎,并发症,硬脑膜下脓肿
慢性筛窦炎,并发症,颅内出血
功能性消化不良,并发症,恶心和呕吐
膈疝,并发症,肠梗阻
肛管、直肠、结肠狭窄,并发症,便秘
肝豆状核变性,并发症,癫痫
高血脂,并发症,脂肪肝
肝源性肾损害,并发症,昏迷
高钾血症,并发症,低钾血症
肝源性肾损害,并发症,肝性脑病
小儿阵发性室性心动过速,并发症,猝死
膈肌麻痹,并发症,肺癌
小儿营养不良性消瘦,并发症,低血糖
小儿营养不良性消瘦,并发症,尿路感染
小儿原发性脑干损伤,并发症,瘫痪
小儿硬皮病,并发症,肺动脉高压
高钾血症,并发症,低钠血症
小儿硬皮病,并发症,心包炎
小儿遗传性椭圆形红细胞增多症,并发症,黄疸
小儿遗传性椭圆形红细胞增多症,并发症,胆石症
小儿远端肾小管酸中毒,并发症,神经性耳聋
小儿远端肾小管酸中毒,并发症,尿毒症
小儿硬皮病,并发症,间质性肺炎
小儿硬皮病,并发症,吞咽困难
小儿原发性脑干损伤,并发症,应激性溃疡
小儿支气管扩张,并发症,脓胸
小儿支气管扩张,并发症,肺脓肿
小儿营养不良性消瘦,并发症,肺炎
小儿营养不良性消瘦,并发症,缺铁性贫血
膈肌麻痹,并发症,呼吸衰竭
小儿营养不良性消瘦,并发症,腹泻
格林－巴利综合征,并发症,尿潴留
小儿隐睾症,并发症,睾丸损伤
小儿隐睾症,并发症,男性不育症
肝豆状核变性,并发症,肝性脑病
小儿远端肾小管酸中毒,并发症,佝偻病
格林－巴利综合征,并发症,褥疮
肝豆状核变性,并发症,骨折
肝豆状核变性,并发症,肝肾综合征
肝豆状核变性,并发症,褥疮
格林－巴利综合征,并发症,肺栓塞
肝豆状核变性,并发症,尿路感染
小儿营养不良性消瘦,并发症,佝偻病
肝豆状核变性,并发症,吞咽困难
高血脂,并发症,冠心病
老年甲状腺功能减退症,并发症,低血压
高血脂,并发症,糖尿病
肝豆状核变性,并发症,门静脉高压
肝源性肾损害,并发症,低血压
肺泡微结石症,并发症,呼吸衰竭
小儿遗传性大疱性表皮松解症,并发症,败血症
反流性肾病,并发症,高血压
反流性肾病,并发症,尿毒症
肺部钩虫病,并发症,贫血
肺泡微结石症,并发症,肺动脉高压
肺部粪类圆线虫病,并发症,脑膜炎
肺部粪类圆线虫病,并发症,脑脓肿
肺部粪类圆线虫病,并发症,肺炎
肥胖性心肌病,并发症,高血压
婴儿腹部远心性脂肪营养不良,并发症,糖尿病
原发性系统性淀粉样变,并发症,便血
分泌性中耳炎,并发症,粘连性中耳炎
原发性系统性淀粉样变,并发症,多发性骨髓瘤
原发性系统性淀粉样变,并发症,蛋白尿
银屑病关节炎性巩膜炎,并发症,青光眼
银屑病关节炎性巩膜炎,并发症,白内障
阴囊炎性癌,并发症,直肠癌
营养代谢疾病伴发的精神障碍,并发症,癫痫
肺部少见的恶性肿瘤,并发症,肺转移瘤
阴囊炎性癌,并发症,前列腺癌
营养代谢疾病伴发的精神障碍,并发症,痴呆
肺不张,并发症,肺脓肿
肺部良性肿瘤,并发症,肺脓肿
小儿一氧化碳中毒,并发症,痴呆
银屑病关节炎性巩膜炎,并发症,结膜炎
肺部良性肿瘤,并发症,支气管炎
小儿一氧化碳中毒,并发症,瘫痪
小儿一氧化碳中毒,并发症,肺炎
