title,lable
腰部峡部崩裂和脊椎滑脱,newNode
急性心功能不全,newNode
一氧化碳中毒后迟发性脑病,newNode
鼓室硬化症,newNode
肌营养不良症,newNode
牙周病,newNode
急性化脓性中耳炎,newNode
隐性脊柱裂,newNode
脊椎结核后突畸形,newNode
巨细胞病毒病,newNode
甲状腺结节,newNode
小脑扁桃体下疝,newNode
甲状腺腺瘤,newNode
甲状腺癌,newNode
眼球内陷,newNode
精索静脉曲张,newNode
肾盂肾炎,newNode
肾动静脉瘘,newNode
心源性休克,newNode
脊髓缺血,newNode
先天性肛门直肠畸形,newNode
上睑下垂,newNode
选择性IgA缺乏症,newNode
颈椎病,newNode
阳痿,newNode
性欲减退,newNode
老年人前列腺增生症,newNode
遗精,newNode
心肌缺血,newNode
痒疹,newNode
早泄,newNode
遗尿,newNode
性早熟,newNode
下肢静脉曲张,newNode
急性心力衰竭,newNode
月经不调,newNode
急性阑尾炎,newNode
结肠癌,newNode
羊水过多,newNode
脊椎结核,newNode
眼睑湿疹,newNode
精神发育迟滞,newNode
胰腺假性囊肿,newNode
宫颈糜烂,newNode
睾丸炎,newNode
脊髓灰质炎,newNode
血厥,newNode
中暑,newNode
急性腰扭伤,newNode
酒精性肝病,newNode
原发性硬化性胆管炎,newNode
小儿呕吐,newNode
血吸虫病,newNode
血色病,newNode
幽门梗阻,newNode
急性胃肠炎,newNode
急性盆腔炎,newNode
急性胰腺炎,newNode
急性淋巴结炎,newNode
咽旁脓肿,newNode
咽后脓肿,newNode
手足癣,newNode
原发性肝癌,newNode
结肠瘘,newNode
急性心包炎,newNode
性厌恶,newNode
支气管哮喘,newNode
先天性膀胱颈挛缩,newNode
甲癣,newNode
手癣,newNode
血管内皮瘤,newNode
皲裂疮,newNode
角膜病,newNode
肾发育不全,newNode
肾盂输尿管连接部梗阻,newNode
畸胎瘤,newNode
急性心肌梗死,newNode
下肢深静脉血栓形成,newNode
结节病,newNode
经行发热,newNode
叶酸缺乏神经病,newNode
硬皮病食管,newNode
眼睑皮肤弛缓症,newNode
三尖瓣下移畸形,newNode
心室间隔缺损,newNode
急性闭角性青光眼,newNode
心动过速性心肌病,newNode
乳酸酸中毒,newNode
视盘炎,newNode
视盘水肿,newNode
鼠疫,newNode
消化道重复畸形,newNode
甲亢,newNode
急性肾小管坏死,newNode
脚气病,newNode
结节性红斑,newNode
淋巴水肿,newNode
咽肌痉挛,newNode
心室扑动和心室颤动,newNode
神经型食物中毒,newNode
急性淋巴管炎,newNode
心性猝死综合征,newNode
急性胆囊炎,newNode
小儿阵发性睡眠性血红蛋白尿症,newNode
血卟啉病,newNode
漏斗胸,newNode
鸡胸,newNode
消化性溃疡,newNode
脊髓空洞症,newNode
脊柱侧凸,newNode
肩关节脱位,newNode
小儿学校恐怖症,newNode
结节性硬化病,newNode
肾移植,newNode
腺癌,newNode
子宫内膜增生,newNode
胰腺脓肿,newNode
间歇性外斜视,newNode
色素痣,newNode
隐斜,newNode
肾性氨基酸尿,newNode
急性鼻炎,newNode
嗅觉障碍,newNode
肾静脉血栓,newNode
颅骨缺损,newNode
小儿感染性心内膜炎,newNode
小儿骨折,newNode
血小板减少症,newNode
视网膜中央静脉阻塞,newNode
小肠肿瘤,newNode
甲亢性心脏病,newNode
眼球破裂伤,newNode
畸形性吞咽困难,newNode
交感性眼炎,newNode
药疹,newNode
急性髓细胞白血病,newNode
急性白血病,newNode
系统性血管炎,newNode
结核性脑膜炎,newNode
过敏性鼻炎,newNode
宫颈癌,newNode
早产儿贫血,newNode
硬肿症,newNode
下消化道出血,newNode
新生儿呼吸窘迫综合征,newNode
宫颈息肉,newNode
细菌性肝脓肿,newNode
食管癌,newNode
肾小管性酸中毒,newNode
小儿充血性心力衰竭,newNode
睾丸肿瘤,newNode
急性弥漫性腹膜炎,newNode
甲状腺功能减退,newNode
性病,newNode
小儿营养不良性水肿,newNode
角膜葡萄肿,newNode
继发性纵隔感染,newNode
先天性青光眼,newNode
结肠扭转,newNode
急性化脓性胆管炎,newNode
脊髓肿瘤,newNode
结膜结核病,newNode
急性胃扩张,newNode
肾脏损伤,newNode
急性肾盂肾炎,newNode
眼球运动障碍,newNode
肾结核,newNode
静脉曲张,newNode
尖锐湿疣,newNode
血栓性血小板减少性紫癜,newNode
生殖器疱疹,newNode
新生儿发热,newNode
心肌梗塞并发左心室室壁瘤,newNode
上腔静脉综合征,newNode
急性蜂窝组织炎,newNode
肾上腺皮质功能减退症,newNode
舌癌,newNode
牙龈炎,newNode
小儿多动症,newNode
结节性脂膜炎,newNode
系统性红斑狼疮,newNode
巩膜炎,newNode
类风湿关节炎,newNode
先天性白内障,newNode
新生儿败血症,newNode
脊柱、脊髓损伤,newNode
视神经炎,newNode
肋骨骨折,newNode
压迫性视神经病变,newNode
婴儿玫瑰疹,newNode
结肠炎,newNode
阴道毛滴虫病,newNode
先兆流产,newNode
伤寒,newNode
血痹,newNode
甲沟炎,newNode
急性出血性坏死性肠炎,newNode
先天性主动脉缩窄,newNode
心原性肝硬化,newNode
消化不良,newNode
挤压综合征,newNode
甲真菌病,newNode
颅咽管瘤,newNode
胸主动脉瘤,newNode
原发性腹膜炎,newNode
急性胃炎,newNode
神经性肌强直,newNode
痉挛性斜颈,newNode
衣原体感染症,newNode
阴茎异常勃起,newNode
急性脊髓炎,newNode
异物肉芽肿,newNode
遗传性共济失调,newNode
肌萎缩侧索硬化症,newNode
畸形性骨炎,newNode
鸡眼,newNode
巨舌,newNode
结核性腹膜炎,newNode
急性肺源性心脏病,newNode
小儿常染色体显性小脑性共济失调,newNode
急黄,newNode
新生儿胆红素脑病,newNode
颅骨骨髓炎,newNode
眼眶脓肿,newNode
肾积脓,newNode
食管憩室,newNode
急性胆源性胰腺炎,newNode
胸壁皮下气肿,newNode
神经性厌食症,newNode
急性子宫内膜炎,newNode
咽鼓管阻塞,newNode
食管破裂,newNode
急性化脓性乳突炎,newNode
干燥性角结膜炎,newNode
肝母细胞瘤,newNode
厌氧菌感染,newNode
高催乳素血症,newNode
胫腓骨骨折,newNode
胫腓下联合前部分离,newNode
心血管和血栓栓塞综合征,newNode
甲状腺功能减退症,newNode
溢泪症,newNode
阴道恶性肿瘤,newNode
急性卡他性结膜炎,newNode
上气道梗阻,newNode
新生儿低血糖症,newNode
结肠息肉,newNode
角膜软化症,newNode
心脏损伤,newNode
先天性静脉畸形肢体肥大综合征,newNode
股骨颈骨折,newNode
类白血病反应,newNode
记忆障碍,newNode
局灶性肾小球硬化症,newNode
心脏骤停与心肺脑复苏,newNode
结、直肠黑变病,newNode
水痘,newNode
小儿周期性低血钾性麻痹,newNode
颈椎管狭窄症,newNode
新生儿硬肿症,newNode
失眠症,newNode
颅底骨折,newNode
急性呼吸衰竭,newNode
食物中毒,newNode
绿色瘤,newNode
先天性胫骨假关节,newNode
结核性脓胸,newNode
脊髓压迫症,newNode
积聚,newNode
幽门螺杆菌感染,newNode
心功能障碍,newNode
硬皮病,newNode
银屑病,newNode
先天性短食管,newNode
老年人脑出血,newNode
新生儿溶血病,newNode
肾性尿崩症,newNode
肾性糖尿,newNode
小儿肺水肿,newNode
主动脉肠道瘘,newNode
血管网织细胞瘤,newNode
血管活性肠肽瘤,newNode
血栓闭塞性脉管炎,newNode
聚星障,newNode
三尖瓣闭锁不全,newNode
先天性声门下狭窄,newNode
涎腺混合瘤,newNode
粒细胞缺乏症,newNode
细菌性痢疾,newNode
基底细胞瘤,newNode
急性气管－支气管炎,newNode
神经内分泌肿瘤,newNode
神经鞘源性肿瘤,newNode
巨幼细胞性贫血,newNode
亚急性感染性心内膜炎,newNode
食管损伤,newNode
三期梅毒,newNode
牙髓病,newNode
结膜干燥症,newNode
松弛性跖痛症,newNode
胸腺瘤,newNode
脊椎外伤,newNode
新生儿颅内出血,newNode
消化系统疾病伴发的精神障碍,newNode
小儿胆道蛔虫症,newNode
颅内动脉瘤,newNode
急性乳腺炎,newNode
婴儿成神经细胞瘤,newNode
新生儿坏死性小肠结肠炎,newNode
小儿室间隔缺损,newNode
新生儿呕吐,newNode
腺淋巴瘤,newNode
急性高原病,newNode
牙列拥挤,newNode
心包囊肿,newNode
高泌乳素血症,newNode
新生儿肺炎,newNode
老年人肺气肿,newNode
老年人类风湿性关节炎,newNode
一期梅毒,newNode
急性扁桃体炎,newNode
急性乳突炎,newNode
小儿脑肿瘤,newNode
急性中毒性脑炎,newNode
羊水栓塞,newNode
胰腺损伤,newNode
胰腺囊肿,newNode
鱼鳞病,newNode
跟腱后滑囊炎,newNode
痈,newNode
性功能异常伴发的精神障碍,newNode
神经性呕吐,newNode
性冷淡,newNode
鼓膜外伤,newNode
色素性青光眼,newNode
纤维毛囊瘤,newNode
老年性阴道炎,newNode
乙肝,newNode
小儿发烧,newNode
小儿营养不良,newNode
心动过缓,newNode
性交疼痛,newNode
神经母细胞瘤,newNode
弓形虫病,newNode
结肠损伤,newNode
急性膀胱炎,newNode
紧张性头痛,newNode
急性腮腺炎性睾丸炎,newNode
颈椎骨折脱位,newNode
先天性无阴道,newNode
骨膜性软骨肉瘤,newNode
新生儿缺氧缺血性脑病,newNode
巨人症,newNode
小儿遗传性痉挛性截瘫,newNode
先天性髋关节脱位,newNode
小舞蹈病,newNode
小儿肠病性肢端皮炎,newNode
牙龈癌,newNode
咽扁桃体肥大,newNode
失认症,newNode
酒中毒性小脑变性,newNode
小儿风湿热,newNode
新生儿泪囊炎,newNode
急性海绵窦栓塞性静脉炎,newNode
肾虚,newNode
颈部淋巴结结核,newNode
色素紫癜性皮炎,newNode
声带息肉,newNode
晕动病,newNode
小脑扁桃体疝,newNode
小儿迷路水肿-耳性眩晕综合征,newNode
颈椎结核,newNode
继发性甲状旁腺功能亢进症,newNode
老年人败血症,newNode
急性肠系膜上动脉梗死,newNode
经前期综合征,newNode
巨球蛋白血症,newNode
血管神经性水肿,newNode
先天性声带发育不良,newNode
进行性延髓麻痹,newNode
甲下外生骨疣,newNode
阴道痉挛,newNode
碱性磷酸钙结晶沉积病,newNode
胸主动脉夹层动脉瘤,newNode
晶体脱位,newNode
散发性甲状腺肿,newNode
小汗腺痣,newNode
膝关节创伤性滑膜炎,newNode
死精症,newNode
眼肌麻痹性偏头痛,newNode
少精子症,newNode
膝关节半月板损伤,newNode
细菌性阴道炎,newNode
肾囊肿,newNode
肾结核对侧肾积水,newNode
结核性膀胱自发破裂,newNode
结核性膀胱挛缩,newNode
老年人胃癌,newNode
老年人肺癌,newNode
老年人心力衰竭,newNode
老年人低血糖症,newNode
老年人高血压危象,newNode
老年性耳聋,newNode
重症肌无力样综合征,newNode
老年人上腔静脉受压综合征,newNode
小肠系膜损伤,newNode
老年斑,newNode
丝虫病,newNode
骨外软骨肉瘤,newNode
咽囊炎,newNode
神经性皮炎,newNode
牙周萎缩,newNode
牙外伤,newNode
血管性痴呆,newNode
老年人骨质疏松,newNode
遗尿症,newNode
肾前性肾功能衰竭,newNode
甲状腺相关眼病,newNode
急性化脓性乳腺炎,newNode
小儿不对称身材-矮小-性发育异常综合征,newNode
书写痉挛,newNode
嗜血流感杆菌的皮肤感染,newNode
小儿唐氏综合征,newNode
先天性脑积水,newNode
子宫癌,newNode
咽部混合瘤,newNode
结肠粪性穿孔,newNode
颅内转移瘤,newNode
跟骨骨髓炎,newNode
颅内低压性头痛,newNode
纤维性骨炎,newNode
继发性化脓性腹膜炎,newNode
