entity1,relation,entity2
四肢无力,相关症状,乏力
四肢无力,相关症状,无力
四肢肌张力增强,相关症状,齿轮样强直
四肢肌张力增强,相关症状,震颤
四边孔处的局限压痛,相关症状,感觉障碍
四边孔处的局限压痛,相关症状,三角肌疼痛
四肢发冷,相关症状,阴盛阳虚
四肢发冷,相关症状,阴阳气血失衡
四肢畸形,相关症状,脊柱后突
四肢畸形,相关症状,婴儿脊柱侧凸
四叠体受压,相关症状,阿罗瞳孔
四叠体受压,相关症状,动眼神经麻痹
四叠体受压,相关症状,瞳孔异常
睡觉背部酸痛,相关症状,腰背痛
睡觉背部酸痛,相关症状,腰痛
睡觉背部酸痛,相关症状,腰椎疼痛
睡瘫症,相关症状,睡眠麻痹
双肾弥漫性病变,相关症状,尿痛
双肾弥漫性病变,相关症状,血尿
睡眠中周期性腿动,相关症状,睡眠节律紊乱
双耳廓发育不全,相关症状,耳垂缺损
双耳廓发育不全,相关症状,耳垂粘连
手脚冰凉,相关症状,气虚体质
手脚冰凉,相关症状,气滞血瘀
双下肢可凹陷性水肿,相关症状,水肿
双下肢可凹陷性水肿,相关症状,心源性水肿
双上眼睑的水肿性紫红色斑,相关症状,色素沉着与色素减退
双上眼睑的水肿性紫红色斑,相关症状,皮疹
衰老加快,相关症状,体重减轻
衰老加快,相关症状,体重增加
手术创伤,相关症状,伤口结疤
手术创伤,相关症状,伤口感染
手术后破伤风,相关症状,头痛
手术后破伤风,相关症状,发烧
手、足部厚壁水疱,相关症状,瘙痒
手背部皮肤发红肿胀,相关症状,皮肤擦伤
嗜心性病毒感染,相关症状,室上性心律失常
手臂肌肉拉伤,相关症状,手部震颤
手臂肌肉拉伤,相关症状,手部功能完全丧失
食指指甲凹陷,相关症状,烦躁不安
食指指甲凹陷,相关症状,疲乏
食指指甲凹陷,相关症状,心悸
失血过多,相关症状,急性贫血
失血过多,相关症状,贫血貌
湿性坏疽,相关症状,皮肤坏死
湿性坏疽,相关症状,休克
十二指肠有切迹或狭窄,相关症状,腹痛
十二指肠有切迹或狭窄,相关症状,结肠梗阻
声音嘶哑,相关症状,声音变低
声音嘶哑,相关症状,声音异常
生长激素分泌过少,相关症状,异常矮小
生长激素分泌过少,相关症状,大脑发育障碍
肾小管坏死,相关症状,肾区压痛
肾小管坏死,相关症状,肾痛
肾阳虚,相关症状,舌质红绛
肾阳虚,相关症状,肝肾阴虚
生理性厌食,相关症状,厌食
肾区叩击痛,相关症状,肾脏受累
肾区叩击痛,相关症状,肾区压痛
肾区叩击痛,相关症状,肾痛
闪回,相关症状,情绪低落
烧伤创面苍白或焦黄炭化,相关症状,烧伤创面粪臭味分泌物
肾小管酸化功能障碍,相关症状,恶心
肾小管酸化功能障碍,相关症状,呕吐
肾动脉阻塞,相关症状,结石
色素脱失,相关症状,皮肤粘膜色素斑
色素脱失,相关症状,色素性皮损
上呼吸道和口腔存在大量定植菌,相关症状,肺部感染
上呼吸道和口腔存在大量定植菌,相关症状,咳痰
肾动脉硬化,相关症状,蛋白尿
伤口结疤,相关症状,瘙痒
腮腺无痛性肿块,相关症状,局部淋巴结肿大
腮腺区肿大,相关症状,持续性发热
腮腺肿大,相关症状,腮腺区肿大
腮腺肿大,相关症状,腮腺肿胀
SM累积量升高,相关症状,肝肿大
SM累积量升高,相关症状,脾肿大
“三偏”症,相关症状,步态不稳
三凹征,相关症状,呼吸困难
三凹征,相关症状,心率增快
三尖瓣脱垂,相关症状,心室扑动
三尖瓣脱垂,相关症状,心房游走性节律
三尖瓣脱垂,相关症状,心电图异常
“三怕”(水声、光、风)现象,相关症状,乏力
“三怕”(水声、光、风)现象,相关症状,低热
栓状齿,相关症状,齿龈肿胀
栓状齿,相关症状,高腭弓
栓状齿,相关症状,脊柱裂
栓状齿,相关症状,紧张
栓状齿,相关症状,萌牙延迟
栓状齿,相关症状,疱疹
栓状齿,相关症状,丘疹
栓状齿,相关症状,瘙痒
栓状齿,相关症状,色素斑
栓状齿,相关症状,色素异常
栓状齿,相关症状,视神经萎缩
栓状齿,相关症状,视网膜出血
栓状齿,相关症状,瘫痪
栓状齿,相关症状,脱发
栓状齿,相关症状,小头
栓状齿,相关症状,斜视
栓状齿,相关症状,牙龈痛
栓状齿,相关症状,牙龈肿胀
栓状齿,相关症状,眼球震颤
腮腺肿胀,相关症状,腮腺区肿大
腮腺肿胀,相关症状,腮腺无痛性肿块
三叉神经一二支分布区域疼痛,相关症状,头痛头晕
三尖瓣狭窄,相关症状,心音异常
三尖瓣狭窄,相关症状,心脑血管意外
三叉神经分布区麻木感,相关症状,眩晕
三叉神经分布区麻木感,相关症状,眼球震颤
三尖瓣下移,相关症状,心悸
三尖瓣下移,相关症状,奔马律心音
三尖瓣下移,相关症状,心脏杂音
三峰热型,相关症状,弛张热
三峰热型,相关症状,白细胞减少
三角头畸形,相关症状,头颅骨病变
三角肌疼痛,相关症状,发烧
散脉,相关症状,弱脉
散脉,相关症状,脉压增宽
三联征,相关症状,癫痫发作
三联征,相关症状,智力减低
色觉丧失,相关症状,红色盲
色觉丧失,相关症状,蓝黄色盲
色觉丧失,相关症状,蓝黄色弱
色觉丧失,相关症状,绿色盲
色觉丧失,相关症状,绿色弱
色汗,相关症状,潮汗
色汗,相关症状,汗出如油
嗓音粗,相关症状,发音改变
嗓音粗,相关症状,腺体结节
嗓音粗,相关症状,咽部苹果酱样结节
丧偶后适应性障碍,相关症状,表情迟钝
丧偶后适应性障碍,相关症状,消瘦
色素性皮损,相关症状,红斑样皮疹
色素性皮损,相关症状,脸上长斑
色素性皮损,相关症状,褐青斑
色情行为,相关症状,精神变态
瘙痒,相关症状,肾上腺皮质激素不足
色觉异常,相关症状,红色盲
色觉异常,相关症状,蓝黄色盲
色觉异常,相关症状,绿色盲
色素性胆结石,相关症状,胆绞痛
色素性胆结石,相关症状,胆囊触痛征
色素斑,相关症状,皮肤色素加深
色素斑,相关症状,皮肤粘膜色素斑
色素斑,相关症状,色素性皮损
色素沉着与色素减退,相关症状,皮肤色素加深
色素沉着与色素减退,相关症状,色素脱失
色素沉着与色素减退,相关症状,色素异常
色素异常,相关症状,皮肤色素加深
色素异常,相关症状,色素脱失
色素异常,相关症状,色素性皮损
涩脉,相关症状,气滞血瘀
傻笑,相关症状,痴呆面容
傻笑,相关症状,大脑发育障碍
筛窦泪囊瘘,相关症状,泪溢
筛窦泪囊瘘,相关症状,畏光及流泪
疝区的疼痛或坠胀感,相关症状,腹壁外侧包块 ，有固定压痛
疝区的疼痛或坠胀感,相关症状,局部压痛
伤口感染,相关症状,持续性发热
伤口感染,相关症状,蜂窝组织炎
上半身肥胖型,相关症状,向心性肥胖
上半身肥胖型,相关症状,内脏性肥胖
上半身代偿性多汗症,相关症状,头部多汗
上半身代偿性多汗症,相关症状,腋窝多汗
上半身代偿性多汗症,相关症状,面、颈部味觉性多汗
伤寒面容,相关症状,发热伴眼睛充血
上半身消瘦，下半身肥胖,相关症状,营养障碍
上半身消瘦，下半身肥胖,相关症状,肝细胞内脂肪堆积过多
上半身热刺激性多汗,相关症状,交感神经高度紧张
闪电样痛,相关症状,三叉神经分布区麻木感
闪电样痛,相关症状,三叉神经一二支分布区域疼痛
上臂短于前臂，小腿短于大腿,相关症状,骨端增大
伤口愈合发痒,相关症状,外伤性出血
伤口形成一个搏动性肿块,相关症状,下肢肿胀和乏力
上唇肥厚,相关症状,唇干裂
上唇肥厚,相关症状,口唇渗液
上唇附近，鼻旁沟和眼睑的丘疹或结节,相关症状,粟粒样丘疹
上唇附近，鼻旁沟和眼睑的丘疹或结节,相关症状,青红丘疹
上唇变薄,相关症状,反复肺炎
上腹不适,相关症状,上腹部包块
上腹不适,相关症状,腹部压痛
上腹不适,相关症状,上腹部疼痛
上腹部疼痛,相关症状,上腹部肿块及腹胀
上腹部疼痛,相关症状,腹部压痛
上腹部肿块及腹胀,相关症状,腹部肿块
上腹部肿块及腹胀,相关症状,腹胀
上腹部肿块及腹胀,相关症状,下腹胀痛
上唇疖肿,相关症状,下唇微痒增大如蚕茧硬结
上腹弥漫性压痛,相关症状,腹胀
上腹弥漫性压痛,相关症状,上腹部肿块及腹胀
上腹壁的中央线缺损,相关症状,呼吸异常
上腹壁的中央线缺损,相关症状,肋间隙可有压痛
上腹部包块,相关症状,左上腹囊性包块有压痛
上腹部包块,相关症状,腹壁外侧包块 ，有固定压痛
上睑下垂,相关症状,核上性垂直性眼肌瘫痪
上腹及腰背部有“束带感”,相关症状,腰背痛
上腹及腰背部有“束带感”,相关症状,腰背酸痛
上肺纤维化明显,相关症状,呼吸困难
上肺纤维化明显,相关症状,呼吸抑制
上肺纤维化明显,相关症状,呼吸音粗糙
上呼吸道卡他症状,相关症状,打喷嚏
上呼吸道卡他症状,相关症状,咳嗽
上颈髓区病变,相关症状,下肢麻木
上消化道出血,相关症状,肌张力降低
上消化道出血,相关症状,腱反射亢进
上腹囊性肿块,相关症状,上腹部肿块及腹胀
上睑黄白色小点,相关症状,乳头肥大
上呼吸道粘膜刺激症状,相关症状,呼吸困难
上呼吸道粘膜刺激症状,相关症状,咳嗽
上列牙痛,相关症状,牙齿遇冷热痛
上腔静脉回流受阻,相关症状,下腔静脉血栓形成
上台阶困难,相关症状,睾丸萎缩
上台阶困难,相关症状,声音变低
上尿路结构和功能损害,相关症状,逼尿肌反射亢进
上尿路结构和功能损害,相关症状,便秘
上行性皮肤麻木,相关症状,口唇麻木
上行性皮肤麻木,相关症状,口唇周围麻木感刺痛
上行性皮肤麻木,相关症状,面部麻木
上行性皮肤麻木,相关症状,手指末端持续对称性刺痛麻木
上行性皮肤麻木,相关症状,下唇麻木
上肢水肿,相关症状,食道粘膜水肿充血
上眼睑增厚松弛,相关症状,睡眠时睑闭合不全
上眼睑增厚松弛,相关症状,眼屎多
上肢呈迟缓性麻痹,相关症状,臂丛神经受累
上肢及面部血管曲张、水肿及青紫,相关症状,恶心与呕吐
上肢外展上举困难,相关症状,吞咽困难
上肢麻木,相关症状,耳堵
上肢无力,相关症状,颈椎痛
上肢无力,相关症状,上肢麻木
上肢及肩向下牵引或手拿重物时疼痛,相关症状,关节疼痛
上肢半屈状,相关症状,肘关节疼痛
上肢突然出现肿胀酸痛,相关症状,静脉血栓
烧伤创面暗灰或黑色的坏死斑,相关症状,剧烈疼痛
烧伤创面暗灰或黑色的坏死斑,相关症状,血压偏低
烧伤创面粪臭味分泌物,相关症状,继发感染
烧伤创面粪臭味分泌物,相关症状,脓肿
烧伤创面淡黄色粘稠分泌物,相关症状,剧烈疼痛
烧伤创面焦痂提前潮解、脱落或出现虫咬样变化,相关症状,剧烈头痛
烧伤创面甜腥气味的粘稠分泌物,相关症状,重度烧伤
烧伤创面浅咖啡色稀薄分泌物,相关症状,剧烈疼痛
少尿,相关症状,疲乏
烧伤后口渴,相关症状,脉搏加速
烧伤后口渴,相关症状,口渴
上肢周围性瘫痪,相关症状,对侧肢体偏瘫
烧伤后恶心与呕吐,相关症状,烦躁不安
烧伤后恶心与呕吐,相关症状,心率增快
烧伤后尿量减少,相关症状,尿比重下降
烧伤后尿量减少,相关症状,肾衰竭
舌两侧边缘毛状白斑,相关症状,口干舌燥
舌两侧边缘毛状白斑,相关症状,舌干苔厚
舌口及咽部烧灼感,相关症状,口及咽部烧灼感
舌轻度外吐,相关症状,发绀
舌轻度外吐,相关症状,口腔黏膜黄豆大小，半透明的无痛小疱
舌乳头消失,相关症状,口角皲裂
舌乳头消失,相关症状,口舌生疮
舌乳头增生,相关症状,烦躁不安
舌乳头增生,相关症状,继发感染
舌苔黄,相关症状,烦热
舌苔黄,相关症状,弦脉
舌苔发黑,相关症状,口酸伴有口苦烧心
舌苔发黑,相关症状,热痰口臭
舌苔厚腻,相关症状,腹满
舌苔厚腻,相关症状,腹胀
舌体肥大,相关症状,舌乳头增生
舌体肥大,相关症状,舌痛
舌苔薄白,相关症状,口唇苍白
舌苔薄白,相关症状,皮下结节
舌体深裂,相关症状,舌痛
舌体深裂,相关症状,无痛性口腔溃疡
舌无力且不能随意伸缩回旋,相关症状,血虚
舌无力且不能随意伸缩回旋,相关症状,舌震颤
舌下垂,相关症状,呼吸抑制
舌下垂,相关症状,呼吸困难
舌头上有长时间不愈溃疡,相关症状,黏膜干燥
舌痛,相关症状,舌干苔厚
舌头震颤,相关症状,脑脊液蛋白量增高
舌位于口腔底不能外伸,相关症状,吞咽困难
舌炎,相关症状,舌咬伤
舌炎,相关症状,口干舌燥
舌咽神经损伤,相关症状,舌运动受限
舌咽神经损伤,相关症状,伸舌偏斜
舌体大且表面有沟纹,相关症状,唇厚舌大
舌体大且表面有沟纹,相关症状,继发感染
舌咬伤,相关症状,窒息
舌咬伤,相关症状,惊厥
社交敏感性障碍,相关症状,社交恐惧
社交敏感性障碍,相关症状,恐惧
社交敏感性障碍,相关症状,场所恐惧
社交恐惧,相关症状,恐惧
舌运动受限,相关症状,吞咽困难
舌质红绛,相关症状,昏迷
舌质红绛,相关症状,维生素缺乏
舌质红绛,相关症状,慢性贫血
舌咽神经痛或其他内脏病引起的晕厥,相关症状,晕厥
舌震颤,相关症状,震颤
舌震颤,相关症状,阵挛-强直型
射精疼,相关症状,排尿障碍
射精疼,相关症状,精液带血
射精疼,相关症状,精液稀
伸舌偏斜,相关症状,舌肌麻痹
伸臂握手疼痛,相关症状,肘关节疼痛
伸膝障碍,相关症状,关节畸形
伸舌样痴呆,相关症状,进行性痴呆
身体“福态”,相关症状,男子性功能障碍
身体变形障碍,相关症状,躯体化障碍
伸指无力,相关症状,手指不能屈伸
伸指无力,相关症状,手指麻痛
身体下部短于上部,相关症状,精神萎靡
身痛,相关症状,内脏痛
身体摇晃征,相关症状,呼吸困难
身体摇晃征,相关症状,角弓反张
身体的低垂部位水肿,相关症状,呼吸困难
身体的低垂部位水肿,相关症状,心悸
深部性头痛,相关症状,抽搐
深部性头痛,相关症状,钝痛
呻吟,相关症状,颈背疼痛
呻吟,相关症状,胃热疼痛
呻吟,相关症状,牙疼
深侧鼻塞,相关症状,带血粘脓鼻涕
深痱,相关症状,红斑样皮疹
深痱,相关症状,瘙痒
深痱,相关症状,皮疹
深感觉障碍,相关症状,感觉障碍
深感觉障碍,相关症状,手套或短袜子式浅、深感觉障碍
深昏迷,相关症状,意识障碍
深睡眠症,相关症状,睡眠过度
深睡眠症,相关症状,睡眠麻痹
深睡眠症,相关症状,下丘脑损害
神经干断裂,相关症状,开放性损伤
深黄色或带绿色的水样便,相关症状,腹痛
深黄色或带绿色的水样便,相关症状,伤寒面容
深黄色或带绿色的水样便,相关症状,休克
深黄色或带绿色的水样便,相关症状,呕吐
神经肌肉症状,相关症状,腿脚发麻
神经肌肉症状,相关症状,腰大肌痉挛
神经官能症状,相关症状,神经症性反应
神经根刺激,相关症状,感觉障碍
神经衰弱综合征,相关症状,头昏
神经衰弱综合征,相关症状,失眠头痛
神经根激惹症状,相关症状,水肿
神经根激惹症状,相关症状,腰痛
神经根损伤,相关症状,缺氧缺血性神经损伤
神经伤,相关症状,剧烈神经根性痛
神经伤,相关症状,神经根激惹症状
神经伤,相关症状,神经根损伤
神经束内神经纤维损伤,相关症状,缺氧缺血性神经损伤
神经疼痛,相关症状,神经痛
神经疼痛,相关症状,肌肉神经痛
神经失用,相关症状,口角下垂
神经失用,相关症状,神经痛
神经纤维过度生长,相关症状,膝、踝反射减退
神经纤维过度生长,相关症状,角膜反射迟钝
神经纤维过度生长,相关症状,光反射消失
神经纤维过度生长,相关症状,对光反射迟钝
神经纤维过度生长,相关症状,腱反射异常
神经性耳聋,相关症状,耳鸣
神经痛,相关症状,三叉神经分布区麻木感
神经性呕吐,相关症状,恶心与呕吐
神经性呕吐,相关症状,呕吐
神经性呕吐,相关症状,反射性呕吐
神经性胃痛,相关症状,胃痛
神经性胃痛,相关症状,胃酸过多
神经性头痛,相关症状,头痛
神经性厌食,相关症状,食欲不振
神经性厌食,相关症状,体重减轻
神经性尿频,相关症状,排尿障碍
神经性尿频,相关症状,泌尿系感染
神经元移行异常,相关症状,癫痫小发作
神经症性反应,相关症状,焦虑
神经质性格,相关症状,多疑
神志恍惚,相关症状,意志丧失性格
肾包膜过度膨胀,相关症状,食欲不振
肾包膜过度膨胀,相关症状,腰痛
肾病综合征,相关症状,蛋白尿
肾病综合征,相关症状,水肿
肾动脉狭窄,相关症状,伴高血压
神志淡漠,相关症状,昏睡
神志模糊,相关症状,意识障碍
肾钙化,相关症状,尿痛
肾钙化,相关症状,尿频伴尿急和尿痛
肾钙化,相关症状,腰痛伴尿频、尿急、尿痛
肾功能衰竭,相关症状,肾痛
肾功能衰竭,相关症状,肾衰竭
神志不清,相关症状,红细胞偏低
肾病性浮肿面容,相关症状,面色苍白
肾病性浮肿面容,相关症状,眼睑浮肿
神经症性抑郁,相关症状,被害妄想
神经症性抑郁,相关症状,幻觉
神经症性抑郁,相关症状,季节性情绪抑郁
神经症性抑郁,相关症状,迫害妄想
神经症性抑郁,相关症状,抑郁
肾间质受损,相关症状,多尿
肾间质受损,相关症状,夜尿增多
肾间质水肿,相关症状,水肿
肾间质水肿,相关症状,小腿水肿
肾后性肾衰,相关症状,尿路结石
肾结石,相关症状,肾钙化
肾结石,相关症状,肾痛
肾间质纤维化,相关症状,视乳头水肿
肾间质纤维化,相关症状,淤血性心衰
肾内动脉变细或阻塞,相关症状,栓塞性肾炎
肾浓缩功能障碍,相关症状,多尿
肾皮质坏死,相关症状,休克
肾皮质坏死,相关症状,反复感染
肾气虚,相关症状,面色苍白
肾气虚,相关症状,无力
肾脓肿,相关症状,胃区包块
肾脓肿,相关症状,腰痛伴肾区叩击痛
肾脓肿,相关症状,尿频伴尿急和尿痛
肾脓肿,相关症状,高热寒战
肾前性肾功能不全,相关症状,泌尿道阻塞
肾前性肾功能不全,相关症状,泌尿道狭窄
“鸡盲”或“雀盲”,相关症状,视野缺损
饥饿时上腹痛,相关症状,暴力作用后腹痛
饥饿时上腹痛,相关症状,广泛性与不定位性腹痛
饥饿时上腹痛,相关症状,男性小腹痛
饥饿时上腹痛,相关症状,情绪性腹痛
饥饿时上腹痛,相关症状,胰源性腹痛
饥饿时上腹痛,相关症状,运动腹痛
饥饿时上腹痛,相关症状,排卵期腹痛
肾缺血,相关症状,尿路结石
肾缺血,相关症状,肾痛
肾区压痛和叩痛,相关症状,肾区压痛
肾区压痛和叩痛,相关症状,肾区叩击痛
肾区压痛和叩痛,相关症状,血尿
肾区钝痛,相关症状,钝痛
肾乳头及肾盂出血,相关症状,血尿
肾乳头及肾盂出血,相关症状,肾盂积水
机械地重复周围人的言语或行为,相关症状,反应迟钝
肌腱拉伤,相关症状,紧张
肾上腺皮质良性男性化现象,相关症状,卵巢性多毛
肾上腺皮质良性男性化现象,相关症状,继发性闭经
肌腱断裂,相关症状,疲劳
肾上腺皮质激素不足,相关症状,血尿
肾上腺危象,相关症状,直立性低血压晕厥
肾上腺危象,相关症状,厌食
肾上腺危象,相关症状,虚脱
肌腱端炎,相关症状,关节疼痛
肌腱端炎,相关症状,关节肿痛
肌腱端炎,相关症状,关节肿胀
肌腱端炎,相关症状,乏力
肌腱端炎,相关症状,黏膜损害
肌腱端炎,相关症状,结节
肌腱端炎,相关症状,盗汗
肌腱端炎,相关症状,低热
肌腱端炎,相关症状,泌尿系感染
机械性压迫,相关症状,四肢麻木
肾衰竭,相关症状,少尿
肾衰竭,相关症状,蛋白尿
肌腱粘连,相关症状,肌腱端炎
肌腱粘连,相关症状,肌腱拉伤
肌腱粘连,相关症状,肌腱囊肿
肌腱粘连,相关症状,肌腱扭伤
肌腱粘连,相关症状,肌肉拉伤
肌腱粘连,相关症状,疲劳
肌腱扭伤,相关症状,疲劳
肌腱囊肿,相关症状,囊肿
肾上腺转移,相关症状,恶心
肾上腺转移,相关症状,恶心与呕吐
肾无功能,相关症状,尿不尽
肾损害,相关症状,肝病面容
肾外梗阻,相关症状,尿酸结晶
肾外梗阻,相关症状,水肿
肾栓塞,相关症状,腰痛
肾栓塞,相关症状,血尿
肾栓塞,相关症状,发烧
肾栓塞,相关症状,恶心
肌肉出血,相关症状,呕血
肌肉出血,相关症状,黑便
肌肉发育不良,相关症状,肌肉疼痛
肌肉肥大,相关症状,无力
肾部积水现象,相关症状,肾痛
肾部积水现象,相关症状,肾盂积水
肌肉痉挛性疼痛,相关症状,抽搐
肌肉痉挛性疼痛,相关症状,肌肉紧张性疼痛
肌肉痉挛性疼痛,相关症状,肌肉跳动
肌肉痉挛性疼痛,相关症状,颈背部肌肉痉挛
肌肉痉挛性疼痛,相关症状,剧烈疼痛
肌肉痉挛性疼痛,相关症状,面部肌肉痉挛
肌肉痉挛性疼痛,相关症状,行走后小腿肌肉痉挛
肌肉痉挛性疼痛,相关症状,睡眠障碍
肌肉痉挛性疼痛,相关症状,衰弱
肌肉痉挛性疼痛,相关症状,疲劳
肌肉痉挛性疼痛,相关症状,椎间盘脱出
肌肉痉挛性疼痛,相关症状,易激惹
肾小动脉有纤维梗死,相关症状,蛋白尿
肌肉坏死,相关症状,紧张
肌肉坏死,相关症状,无力
肾小管萎陷,相关症状,蛋白尿
肾小管萎陷,相关症状,肾前性肾功能不全
肾小管萎陷,相关症状,血尿伴蛋白尿
肌肉假肥大,相关症状,无力
肌肉挫伤,相关症状,休克
肌肉紧张性疼痛,相关症状,肌肉酸痛
肾小管重吸收障碍,相关症状,尿糖
肾小管重吸收障碍,相关症状,肾小管坏死
肌肉的失用性萎缩,相关症状,营养障碍
肾小管细胞受损后炎症,相关症状,肾间质水肿
肾小球滤过率下降,相关症状,多尿
肾小球滤过率下降,相关症状,血尿
肌肉拉伤,相关症状,剧痛
肌肉拉伤,相关症状,肌肉挫伤
肌肉拉伤,相关症状,肌肉撕裂
肌肉拉伤,相关症状,肌肉砸伤
肌肉拉伤,相关症状,开放性损伤
肌肉拉伤,相关症状,紧张
肌肉挛缩,相关症状,肌肉疼痛
肾小球内“三高”,相关症状,蛋白尿
肌肉萎缩,相关症状,无力
肾小球基底膜蛾噬现象,相关症状,血尿
肌肉跳动,相关症状,肌肉纤维震颤
肌肉跳动,相关症状,囟门跳动
肌肉跳动,相关症状,头或颈部发胀及跳动感
肌肉跳动,相关症状,与脉搏相一致的眼球跳动
肌肉完全断裂,相关症状,疲劳
肌肉撕裂,相关症状,肌肉挫伤
肌肉撕裂,相关症状,肌肉萎缩
肌肉撕裂,相关症状,肌肉压痛
肌肉撕裂,相关症状,紧张
肌肉酸痛,相关症状,腰背酸痛
肌肉酸痛,相关症状,关节酸痛
肌肉酸痛,相关症状,骨质疏松
肌肉酸痛,相关症状,肌肉萎缩
肌肉酸痛,相关症状,四肢长骨和肌肉无规律的酸痛
肌肉酸痛,相关症状,睡眠障碍
肌肉酸痛,相关症状,酒后四肢酸痛
肌肉酸痛,相关症状,疲劳
肌肉酸痛,相关症状,肌肉压痛
肌肉酸痛,相关症状,肌肉挫伤
肌肉酸痛,相关症状,钙沉积
肌肉酸痛,相关症状,放射性疼痛
肌肉酸痛,相关症状,驼背
肌肉酸痛,相关症状,无力
肌肉酸痛,相关症状,抽筋
肌肉酸痛,相关症状,衰弱
肌肉纤维震颤,相关症状,肌肉紧张性疼痛
肌肉纤维震颤,相关症状,肌肉挛缩
肌肉纤维震颤,相关症状,肌束震颤
肌肉纤维震颤,相关症状,睡眠障碍
肌肉纤维震颤,相关症状,疲劳
肌肉纤维震颤,相关症状,衰弱
肌肉纤维震颤,相关症状,意向性震颤
肾小球有病理形态改变,相关症状,蛋白尿
肾小球有病理形态改变,相关症状,肾衰竭
肾小球有病理形态改变,相关症状,血尿
肌肉压痛,相关症状,肌痛
肌肉压痛,相关症状,面部浮肿
肌肉压痛,相关症状,肌肉紧张性疼痛
肌肉压痛,相关症状,肌肉萎缩
肌肉压痛,相关症状,酒后四肢酸痛
肌肉压痛,相关症状,疲劳
