entity1,entity2,relation
管性呼吸音,诺氟沙星胶囊,相关药品
灌肠癖,启维,相关药品
灌肠癖,氟哌啶醇片,相关药品
灌肠癖,利培酮胶囊,相关药品
灌肠癖,氯氮平片,相关药品
灌肠癖,五氟利多片,相关药品
鼓膜发红，耳后红肿,克拉霉素胶囊,相关药品
鼓膜发红，耳后红肿,复方磺胺甲噁唑片,相关药品
骨软化,英康利,相关药品
骨软化,阿胶牡蛎口服液,相关药品
骨软化,三维钙片,相关药品
骨软化,强骨生血口服液,相关药品
骨软化,罗盖全,相关药品
骨软化,维磷葡钙片,相关药品
骨软化,维生素,相关药品
骨无菌性坏死,通络生骨胶囊,相关药品
骨无菌性坏死,恒古骨伤愈合剂,相关药品
骨无菌性坏死,丹郁骨康丸,相关药品
骨无菌性坏死,仙灵骨葆片,相关药品
骨无菌性坏死,正骨膏,相关药品
骨无菌性坏死,骨苓通痹丸,相关药品
骨无菌性坏死,归芍活血胶囊,相关药品
鼓腮和吹口哨漏气,赖氨葡锌颗粒,相关药品
鼓腮和吹口哨漏气,葡萄糖酸锌颗粒,相关药品
鼓腮和吹口哨漏气,维生素,相关药品
骨痒,析清,相关药品
骨痒,肾炎四味胶囊,相关药品
骨痒,尿毒清颗粒(无糖型),相关药品
骨痒,甲氧氯普胺片,相关药品
骨痒,阿魏酸哌嗪片,相关药品
骨龄延迟,甘草锌胶囊,相关药品
骨龄延迟,吡拉西坦片,相关药品
骨龄延迟,赖氨葡锌颗粒,相关药品
骨龄延迟,葡萄糖酸锌颗粒,相关药品
骨龄延迟,赖氨肌醇维B12口服溶液,相关药品
骨龄延迟,王氏保赤丸,相关药品
骨龄延迟,葡萄糖酸锌口服溶液,相关药品
骨龄延迟,葡萄糖酸钙锌口服溶液,相关药品
骨密度增加,骨刺片,相关药品
骨密度增加,抗骨质增生丸,相关药品
骨密度增加,抗骨增生片,相关药品
骨密度增加,骨筋丸胶囊,相关药品
骨密度增加,骨刺消痛胶囊,相关药品
骨密度增加,藤黄健骨丸,相关药品
骨密度增加,骨刺平片,相关药品
骨密度增加,骨刺胶囊,相关药品
股骨近侧端变宽,接骨续筋片,相关药品
股骨近侧端变宽,止血镇痛胶囊,相关药品
骨代谢减低,英康利,相关药品
骨代谢减低,阿胶牡蛎口服液,相关药品
骨代谢减低,三维钙片,相关药品
骨代谢减低,强骨生血口服液,相关药品
骨代谢减低,罗盖全,相关药品
骨代谢减低,维磷葡钙片,相关药品
骨代谢减低,维生素,相关药品
股沟及大腿内侧皮肤有色素沉积,硝酸咪康唑乳膏,相关药品
股沟及大腿内侧皮肤有色素沉积,嘉瑞,相关药品
股沟及大腿内侧皮肤有色素沉积,迈可抒,相关药品
股沟及大腿内侧皮肤有色素沉积,酮康唑乳膏,相关药品
股沟及大腿内侧皮肤有色素沉积,联苯苄唑乳膏,相关药品
股沟及大腿内侧皮肤有色素沉积,倍佳,相关药品
股前外侧麻木、蚁行感,贝诺酯片,相关药品
股前外侧麻木、蚁行感,阿司匹林片,相关药品
股前外侧麻木、蚁行感,双氯芬酸钠肠溶片,相关药品
股前外侧麻木、蚁行感,双氯芬酸钠缓释片,相关药品
股三角区压痛,地奥司明片,相关药品
股三角区压痛,脉络舒通颗粒,相关药品
股三角区压痛,海普林,相关药品
股三角区压痛,培磊能,相关药品
股三角区压痛,抗栓胶囊,相关药品
股三角区压痛,喜辽妥,相关药品
股三角区压痛,欧莱,相关药品
宫颈举痛,瑞百适&美福康,相关药品
弓形体感染,乙酰螺旋霉素片,相关药品
弓形体感染,伊诺欣,相关药品
工作倦怠,复方二氯醋酸二异丙胺片,相关药品
工作倦怠,心欣舒胶囊,相关药品
工作倦怠,屏风生脉胶囊,相关药品
工作倦怠,参龙宁心胶囊,相关药品
工作倦怠,滋心阴胶囊,相关药品
工作倦怠,门冬氨酸钾镁片,相关药品
工作倦怠,转移因子胶囊,相关药品
弓形足,盐酸金刚烷胺片,相关药品
弓形足,盐酸苯海索片,相关药品
弓状指,骨刺片,相关药品
弓状指,抗骨质增生丸,相关药品
弓状指,抗骨增生片,相关药品
弓状指,骨筋丸胶囊,相关药品
弓状指,骨刺消痛胶囊,相关药品
弓状指,藤黄健骨丸,相关药品
弓状指,骨刺平片,相关药品
弓状指,骨刺胶囊,相关药品
革兰阴性杆菌感染,诺氟沙星胶囊,相关药品
革兰阴性杆菌感染,氯霉素片,相关药品
高血脂性血管损害,奥利司他片,相关药品
高血脂性血管损害,蜂胶片,相关药品
高血脂性血管损害,非诺贝特片,相关药品
高血脂性血管损害,理舒达,相关药品
高血脂性血管损害,苏之,相关药品
高血脂性血管损害,乐知苹,相关药品
高血脂性血管损害,降脂宁颗粒,相关药品
肛门外翻,乳酸左氧氟沙星片,相关药品
肛门外翻,诺氟沙星胶囊,相关药品
高渗尿,呋塞米片,相关药品
高渗性昏迷,注射用生长抑素,相关药品
高渗性昏迷,安立泽,相关药品
高渗性昏迷,胰岛素注射液,相关药品
肛门病变,奥美拉唑肠溶胶囊,相关药品
肛门病变,多潘立酮片,相关药品
肛门病变,法莫替丁胶囊,相关药品
肛门病变,盐酸雷尼替丁胶囊,相关药品
肛门病变,金奥康,相关药品
肛门病变,多潘立酮口腔崩解片,相关药品
肝脂肪变,强肝片,相关药品
肝脂肪变,复方二氯醋酸二异丙胺片,相关药品
肝脂肪变,三七脂肝丸,相关药品
肝脂肪变,壳脂胶囊,相关药品
肝脂肪变,强肝胶囊,相关药品
肝脂肪变,水飞蓟宾葡甲胺片,相关药品
肝脂肪变,复方蛋氨酸胆碱片,相关药品
肝细胞脂肪性变,二十五味松石丸,相关药品
肝细胞脂肪性变,维生素,相关药品
肝区血管杂音,鱼肝油酸钠注射液,相关药品
肛门短时间阵发性钝痛,吲哚美辛呋喃唑酮栓,相关药品
肛门短时间阵发性钝痛,赛霉安散,相关药品
肛门短时间阵发性钝痛,克比热提片,相关药品
肛门短时间阵发性钝痛,美辛唑酮栓,相关药品
肛门短时间阵发性钝痛,消肿痔疮片,相关药品
肝内HDAg仅一过性阳性,奇莫欣,相关药品
肝内HDAg仅一过性阳性,胸腺肽肠溶片,相关药品
肝内HDAg仅一过性阳性,肌苷片,相关药品
手掌及足底发红,维肝福泰片,相关药品
手掌及足底发红,呋塞米片,相关药品
手掌及足底发红,多贝斯,相关药品
手掌及足底发红,和安,相关药品
手掌及足底发红,维生素,相关药品
手掌及足底发红,肝喜乐片,相关药品
手掌及足底发红,肝爽颗粒,相关药品
手无力不自觉的丢落持物,骨刺片,相关药品
手无力不自觉的丢落持物,氨糖美辛肠溶片,相关药品
手无力不自觉的丢落持物,抗骨质增生丸,相关药品
手无力不自觉的丢落持物,骨筋丸胶囊,相关药品
手无力不自觉的丢落持物,腰息痛胶囊,相关药品
手无力不自觉的丢落持物,盐酸乙哌立松片,相关药品
手无力不自觉的丢落持物,抗骨增生片,相关药品
手下垂时皮肤呈灰蓝色,氯雷他定片,相关药品
手下垂时皮肤呈灰蓝色,精威,相关药品
手下垂时皮肤呈灰蓝色,希瓦丁,相关药品
手下垂时皮肤呈灰蓝色,昔利,相关药品
手下垂时皮肤呈灰蓝色,肤痒颗粒,相关药品
手下垂时皮肤呈灰蓝色,防风通圣丸,相关药品
手下垂时皮肤呈灰蓝色,盐酸非索非那定片,相关药品
手酸,消炎镇痛膏,相关药品
手酸,麝香壮骨膏,相关药品
手酸,康威迪克,相关药品
手酸,奥克清,相关药品
手酸,氨糖美辛肠溶片,相关药品
手酸,吡罗昔康片,相关药品
手酸,布洛芬片,相关药品
手臂肌肉萎缩,酮洛芬凝胶,相关药品
手臂肌肉萎缩,碘酊,相关药品
手臂肌肉萎缩,三七伤药片,相关药品
手臂肌肉萎缩,精制狗皮膏,相关药品
视网膜Roth斑,多贝斯,相关药品
视网膜Roth斑,明目地黄丸,相关药品
肾脏破裂,血尿胶囊,相关药品
肾脏破裂,肾上腺色腙片,相关药品
肾脏破裂,当归拈痛丸,相关药品
肾脏破裂,十味诃子片,相关药品
生长缓慢,匹服平,相关药品
生长缓慢,和乐生,相关药品
生长缓慢,顺铂注射液,相关药品
生长缓慢,诺欣,相关药品
生长缓慢,注射用异环磷酰胺,相关药品
肾后性肾衰,调元大补二十五味汤散,相关药品
肾后性肾衰,呋塞米片,相关药品
肾后性肾衰,肾炎安胶囊,相关药品
肾后性肾衰,肾炎四味胶囊,相关药品
肾后性肾衰,五苓片,相关药品
肾后性肾衰,田可,相关药品
肾后性肾衰,氢氯噻嗪片,相关药品
神经伤,骨肽片,相关药品
神经伤,和安,相关药品
神经伤,伤科跌打丸,相关药品
神经伤,独一味颗粒,相关药品
神经伤,骨松宝胶囊,相关药品
神经伤,伤科七味片,相关药品
神经伤,舒筋活血胶囊,相关药品
神经伤,伤科跌打片,相关药品
身体摇晃征,郝智,相关药品
身体摇晃征,枢芬,相关药品
身体摇晃征,力奥来素,相关药品
身体摇晃征,巴氯芬片,相关药品
栓状齿,眼氨肽注射液,相关药品
栓状齿,英迪特,相关药品
伤口结疤,哈西奈德溶液,相关药品
伤口结疤,积雪苷霜软膏,相关药品
伤口结疤,复方倍氯米松樟脑乳膏,相关药品
伤口结疤,哈西奈德乳膏,相关药品
“三偏”症,通脉颗粒,相关药品
“三偏”症,银杏叶片,相关药品
“三偏”症,脑心通胶囊,相关药品
“三偏”症,普恩复,相关药品
“三偏”症,蚓激酶肠溶胶囊,相关药品
“三怕”(水声、光、风)现象,瑞必补尔,相关药品
“三怕”(水声、光、风)现象,人用狂犬病疫苗,相关药品
“三怕”(水声、光、风)现象,狂犬病人免疫球蛋白,相关药品
“三怕”(水声、光、风)现象,冻干人用狂犬病疫苗,相关药品
“三怕”(水声、光、风)现象,武生旺宁,相关药品
SM累积量升高,盐酸硫必利片,相关药品
腮腺无痛性肿块,加衡,相关药品
腮腺无痛性肿块,优甲乐,相关药品
腮腺无痛性肿块,雷替斯,相关药品
腮腺无痛性肿块,注射用盐酸博莱霉素,相关药品
腮腺无痛性肿块,注射用盐酸博来霉素,相关药品
腮腺肿大,板蓝根颗粒,相关药品
腮腺肿大,重楼解毒酊,相关药品
腮腺肿胀,盐酸左氧氟沙星胶囊,相关药品
腮腺肿胀,乳酸左氧氟沙星片,相关药品
腮腺肿胀,可乐必妥,相关药品
腮腺肿胀,盐酸左氧氟沙星片,相关药品
腮腺肿胀,康尼,相关药品
三叉神经分布区麻木感,通脉颗粒,相关药品
三叉神经分布区麻木感,灯银脑通胶囊,相关药品
三叉神经分布区麻木感,多力康,相关药品
三叉神经分布区麻木感,银杏叶片,相关药品
三叉神经分布区麻木感,血塞通软胶囊,相关药品
三叉神经分布区麻木感,大活络丸,相关药品
三叉神经分布区麻木感,银杏达莫注射液,相关药品
三叉神经一二支分布区域疼痛,强力康颗粒,相关药品
三叉神经一二支分布区域疼痛,密都,相关药品
三叉神经一二支分布区域疼痛,注射用重组人白介素-2(Ⅰ),相关药品
三叉神经一二支分布区域疼痛,复方阿胶补血膏,相关药品
三峰热型,盐酸左氧氟沙星胶囊,相关药品
三峰热型,氨苄西林胶囊,相关药品
三峰热型,安宫牛黄丸,相关药品
三峰热型,乳酸左氧氟沙星片,相关药品
三峰热型,注射用头孢唑林钠,相关药品
三峰热型,阿莫西林分散片,相关药品
三尖瓣脱垂,宁心宝胶囊,相关药品
三尖瓣脱垂,硫酸阿托品注射液,相关药品
三角肌疼痛,骨肽片,相关药品
三角肌疼痛,和安,相关药品
三角肌疼痛,伤科跌打丸,相关药品
三角肌疼痛,独一味颗粒,相关药品
三角肌疼痛,骨松宝胶囊,相关药品
三角肌疼痛,伤科七味片,相关药品
三角肌疼痛,舒筋活血胶囊,相关药品
三角肌疼痛,伤科跌打片,相关药品
三角韧带损伤,七厘胶囊,相关药品
三角韧带损伤,龙血竭胶囊,相关药品
三角韧带损伤,吲哚美辛肠溶片,相关药品
三角韧带损伤,关节止痛膏,相关药品
三角韧带损伤,伤痛宁膏,相关药品
股前内侧及小腿内侧感觉丧失,接骨续筋片,相关药品
股前内侧及小腿内侧感觉丧失,伤科接骨片,相关药品
股前内侧及小腿内侧感觉丧失,止血镇痛胶囊,相关药品
散脉,益玛欣,相关药品
散脉,达芙通,相关药品
散脉,维生素,相关药品
散脉,保胎灵胶囊,相关药品
散脉,坤灵丸,相关药品
散脉,孕康口服液,相关药品
散脉,嗣育保胎丸,相关药品
嗓音粗,金嗓散结丸,相关药品
嗓音粗,黄氏响声含片,相关药品
嗓音粗,清咽片,相关药品
嗓音粗,甘桔冰梅片,相关药品
嗓音粗,金嗓散结胶囊,相关药品
三凹征,利巴韦林片,相关药品
三凹征,肺力咳合剂,相关药品
三凹征,利巴韦林含片,相关药品
瘙痒,丁克,相关药品
瘙痒,盐酸特比萘芬片,相关药品
瘙痒,盐酸特比萘芬乳膏,相关药品
瘙痒,黄柏胶囊,相关药品
丧偶后适应性障碍,奥美拉唑肠溶胶囊,相关药品
丧偶后适应性障碍,盐酸雷尼替丁胶囊,相关药品
丧偶后适应性障碍,奥美拉唑肠溶片,相关药品
色觉丧失,法可林滴眼液,相关药品
色汗,盐酸沙丙蝶呤片,相关药品
色汗,科望,相关药品
胁部肿胀,脑苷肌肽注射液,相关药品
胁部肿胀,丹曲林钠胶囊,相关药品
胁部肿胀,贝力斯,相关药品
胁部肿胀,施捷因,相关药品
囟门闭合晚,叶酸片,相关药品
囟门闭合晚,斯利安,相关药品
囟门闭合晚,美天福,相关药品
细胞酶活性异常,注射用头孢唑林钠,相关药品
细胞酶活性异常,百普力,相关药品
细胞酶活性异常,醋酸甲萘氢醌片,相关药品
细胞酶活性异常,清胰利胆颗粒,相关药品
细胞酶活性异常,茵山莲颗粒,相关药品
纤维膜包裹,复方环磷酰胺片,相关药品
纤维膜包裹,甲氨蝶呤片,相关药品
纤维膜包裹,转移因子注射液,相关药品
囟门跳动,鸦胆子油口服乳液,相关药品
囟门跳动,斯必克,相关药品
囟门跳动,注射用盐酸尼莫司汀,相关药品
小儿前囟凹陷,盐酸甲氯芬酯胶囊,相关药品
小儿前囟凹陷,地塞米松磷酸钠注射液,相关药品
色情行为,谷维素片,相关药品
色情行为,复方吡拉西坦脑蛋白水解物片,相关药品
色情行为,盐酸氯丙嗪片,相关药品
色情行为,启维,相关药品
高腭弓,法可林滴眼液,相关药品
色素沉着与色素减退,醋酸可的松注射液,相关药品
色素沉着与色素减退,醋酸可的松片,相关药品
色素性胆结石,逍遥丸,相关药品
色素性胆结石,胆舒软胶囊,相关药品
色素性胆结石,金胆片,相关药品
色素性胆结石,金钱草片,相关药品
色素性胆结石,复方胆通胶囊,相关药品
色素性胆结石,胆石利通片,相关药品
色素异常,眼氨肽注射液,相关药品
色素异常,英迪特,相关药品
色素性皮损,硝酸咪康唑乳膏,相关药品
色素性皮损,酮康唑乳膏,相关药品
色素性皮损,联苯苄唑乳膏,相关药品
色素性皮损,倍佳,相关药品
色素性皮损,尿素乳膏,相关药品
色素性皮损,茯蒲洗液,相关药品
涩脉,香砂养胃丸,相关药品
涩脉,尼为孚,相关药品
涩脉,能全力,相关药品
涩脉,百普力,相关药品
涩脉,肠胃宁胶囊,相关药品
涩脉,木香顺气丸,相关药品
涩脉,陈香露白露片,相关药品
涩脉,健胃消食片,相关药品
心胃的奇怪感觉,健儿清解液,相关药品
心胃的奇怪感觉,建曲,相关药品
心胃的奇怪感觉,保和丸,相关药品
心胃的奇怪感觉,复方春砂颗粒,相关药品
心胃的奇怪感觉,维生素,相关药品
心胃的奇怪感觉,大山楂颗粒,相关药品
心胃的奇怪感觉,补中益气丸,相关药品
XA-现象,注射用A型肉毒毒素,相关药品
XA-现象,保妥适,相关药品
XV-现象,注射用,相关药品
XV-现象,保妥适,相关药品
夕阳综合征,拉坦前列素滴眼液,相关药品
夕阳综合征,阿法根,相关药品
夕阳综合征,美开朗,相关药品
夕阳综合征,尼目克司,相关药品
夕阳综合征,杞菊地黄丸,相关药品
夕阳综合征,复明胶囊,相关药品
夕阳综合征,复方硫酸新霉素滴眼液,相关药品
夕阳综合征,石斛夜光丸,相关药品
傻笑,通脉颗粒,相关药品
傻笑,多贝斯,相关药品
傻笑,苏之,相关药品
傻笑,辛伐他汀片,相关药品
筛窦泪囊瘘,头孢氨苄胶囊,相关药品
筛窦泪囊瘘,珍欣,相关药品
筛窦泪囊瘘,贝贝莎,相关药品
筛窦泪囊瘘,典必殊,相关药品
筛窦泪囊瘘,典舒,相关药品
筛窦泪囊瘘,氧氟沙星滴眼液,相关药品
筛窦泪囊瘘,托百士,相关药品
肝气郁结,阿苯达唑片,相关药品
闪电样痛,依托红霉素片,相关药品
闪电样痛,倍沙,相关药品
闪电样痛,新红康,相关药品
闪电样痛,三味清热止痒洗剂,相关药品
闪电样痛,大败毒胶囊,相关药品
闪电样痛,康尼,相关药品
闪电样痛,盐酸美他环素片,相关药品
闪回,启维,相关药品
闪回,氟哌啶醇片,相关药品
闪回,利培酮胶囊,相关药品
闪回,氯氮平片,相关药品
闪回,五氟利多片,相关药品
伤寒面容,转移因子口服溶液,相关药品
伤寒面容,安宫牛黄丸,相关药品
伤口愈合发痒,依诺沙星乳膏,相关药品
伤口愈合发痒,能全力,相关药品
伤口愈合发痒,百普力,相关药品
伤口愈合发痒,积雪苷片,相关药品
伤口愈合发痒,积雪苷霜软膏,相关药品
伤口愈合发痒,林可霉素利多卡因凝胶,相关药品
伤口愈合发痒,红霉素软膏,相关药品
吸气时上气道陷闭,红草止鼾胶囊,相关药品
吸气时上气道陷闭,红草止鼾颗粒,相关药品
吸气时胸口痛,注射用培美曲塞二钠,相关药品
吸气时胸口痛,力比泰,相关药品
吸气时胸口痛,注射用卡铂,相关药品
吸气时胸口痛,普来乐,相关药品
吸气时胸口痛,怡罗泽,相关药品
吸气时胸口痛,捷佰立,相关药品
吸气时有蝉鸣音,乳酸左氧氟沙星片,相关药品
吸气时有蝉鸣音,阿奇霉素分散片,相关药品
吸气时有蝉鸣音,盐酸环丙沙星片,相关药品
吸气时有蝉鸣音,盐酸金刚烷胺片,相关药品
吸气时有蝉鸣音,欣匹特,相关药品
肝区摩擦音,二十五味松石丸,相关药品
肝区摩擦音,维生素,相关药品
吸入综合征,小儿麻甘颗粒,相关药品
吸入综合征,婴儿保肺宁,相关药品
吸收不良综合征,赖氨葡锌颗粒,相关药品
吸收不良综合征,葡萄糖酸锌颗粒,相关药品
吸收不良综合征,维生素,相关药品
吸吮反射消失,盐酸甲氯芬酯胶囊,相关药品
吸吮反射消失,地塞米松磷酸钠注射液,相关药品
吸吮反射阳性,赖氨葡锌颗粒,相关药品
吸吮反射阳性,葡萄糖酸锌颗粒,相关药品
吸吮反射阳性,维生素,相关药品
吸烟胸痛,注射用过氧化碳酰胺,相关药品
上半身代偿性多汗症,阿胶牡蛎口服液,相关药品
上半身代偿性多汗症,五味安神颗粒,相关药品
上半身代偿性多汗症,知柏地黄丸,相关药品
上半身代偿性多汗症,参术儿康糖浆,相关药品
上半身代偿性多汗症,玉屏风口服液,相关药品
上半身代偿性多汗症,复方聚维酮碘搽剂,相关药品
上半身代偿性多汗症,生脉饮,相关药品
上半身代偿性多汗症,复方紫荆皮水杨酸溶液,相关药品
上半身肥胖型,赖氨葡锌颗粒,相关药品
上半身肥胖型,葡萄糖酸锌颗粒,相关药品
上半身肥胖型,维生素,相关药品
上半身消瘦，下半身肥胖,维生素,相关药品
上半身消瘦，下半身肥胖,三磷酸腺苷二钠片,相关药品
上臂短于前臂，小腿短于大腿,骨刺片,相关药品
上臂短于前臂，小腿短于大腿,抗骨质增生丸,相关药品
上臂短于前臂，小腿短于大腿,抗骨增生片,相关药品
上臂短于前臂，小腿短于大腿,骨筋丸胶囊,相关药品
上臂短于前臂，小腿短于大腿,骨刺消痛胶囊,相关药品
上臂短于前臂，小腿短于大腿,藤黄健骨丸,相关药品
上臂短于前臂，小腿短于大腿,骨刺平片,相关药品
上臂短于前臂，小腿短于大腿,骨刺胶囊,相关药品
上唇变薄,吡拉西坦片,相关药品
上唇变薄,氢溴酸加兰他敏缓释片,相关药品
上唇变薄,复方吡拉西坦脑蛋白水解物片,相关药品
上唇肥厚,醋酸泼尼松龙注射液,相关药品
上唇肥厚,甘美达,相关药品
上唇肥厚,核黄素磷酸钠注射液,相关药品
上唇肥厚,维生素,相关药品
上唇附近，鼻旁沟和眼睑的丘疹或结节,留可然,相关药品
上唇附近，鼻旁沟和眼睑的丘疹或结节,复方斑蝥胶囊,相关药品
上唇附近，鼻旁沟和眼睑的丘疹或结节,醋酸泼尼松片,相关药品
上唇附近，鼻旁沟和眼睑的丘疹或结节,复方环磷酰胺片,相关药品
上唇附近，鼻旁沟和眼睑的丘疹或结节,醋酸地塞米松片,相关药品
息肉样损害,西乐葆,相关药品
息肉样损害,硫化钠薄荷脑溶液,相关药品
息肉样损害,塞来昔布胶囊,相关药品
息肉样损害,盐酸丁卡因注射液,相关药品
稀便,新红康,相关药品
稀便,甲硝唑片,相关药品
稀便,替硝唑片,相关药品
稀便,甲硝唑维,相关药品
稀便,奥硝唑胶囊,相关药品
膝、踝反射减退,倍沙,相关药品
膝、踝反射减退,红霉素肠溶片,相关药品
膝、踝反射减退,罗红霉素分散片,相关药品
膝、踝反射减退,琥乙红霉素颗粒,相关药品
膝、踝反射减退,琥乙红霉素片,相关药品
膝盖长骨刺,抗骨质增生丸,相关药品
膝盖长骨刺,骨筋丸胶囊,相关药品
膝盖长骨刺,腰息痛胶囊,相关药品
膝盖长骨刺,抗骨增生片,相关药品
膝盖扭伤,跳骨片,相关药品
膝盖砸伤肿痛,跳骨片,相关药品
膝盖撞伤,跳骨片,相关药品
膝关节不能完全伸直,布洛芬缓释胶囊,相关药品
膝关节不能完全伸直,依托芬那酯凝胶,相关药品
膝关节不能完全伸直,布洛芬片,相关药品
膝关节不能完全伸直,复方水杨酸甲酯乳膏,相关药品
膝关节不能完全伸直,仕象,相关药品
膝关节不能完全伸直,布洛芬缓释混悬液,相关药品
膝关节不能完全伸直,吲哚美辛胶囊,相关药品
上肺纤维化明显,尼可刹米注射液,相关药品
上肺纤维化明显,佳苏仑,相关药品
上肺纤维化明显,樟脑磺酸钠注射液,相关药品
上肺纤维化明显,菲而,相关药品
上肺纤维化明显,盐酸多沙普仑注射液,相关药品
上腹壁的中央线缺损,伤科跌打丸,相关药品
上腹壁的中央线缺损,跌打丸,相关药品
上腹壁的中央线缺损,伤科接骨片,相关药品
上腹壁的中央线缺损,三七胶囊,相关药品
上半身热刺激性多汗,阿胶牡蛎口服液,相关药品
上半身热刺激性多汗,五味安神颗粒,相关药品
上半身热刺激性多汗,知柏地黄丸,相关药品
上半身热刺激性多汗,玉屏风口服液,相关药品
上半身热刺激性多汗,复方聚维酮碘搽剂,相关药品
上半身热刺激性多汗,生脉饮,相关药品
上半身热刺激性多汗,复方紫荆皮水杨酸溶液,相关药品
上半身热刺激性多汗,乌洛托品溶液,相关药品
色素脱失,无极膏,相关药品
色素脱失,止痒消炎水,相关药品
色素脱失,马来酸氯苯那敏片,相关药品
色素脱失,丹皮酚软膏,相关药品
色素脱失,咪康唑氯倍他索乳膏,相关药品
上腹部包块,醋酸可的松注射液,相关药品
上腹部包块,醋酸可的松片,相关药品
上腹部肿块及腹胀,二十五味松石丸,相关药品
上腹部肿块及腹胀,维生素,相关药品
上腹及腰背部有“束带感”,郝智,相关药品
上腹及腰背部有“束带感”,益髓颗粒,相关药品
上腹及腰背部有“束带感”,枢芬,相关药品
上腹及腰背部有“束带感”,力奥来素,相关药品
上腹及腰背部有“束带感”,美迪星,相关药品
上腹及腰背部有“束带感”,注射用盐酸克林霉素,相关药品
上腹弥漫性压痛,温胃舒颗粒,相关药品
上腹弥漫性压痛,仲景胃灵胶囊,相关药品
上腹囊性肿块,尿嘧啶替加氟片,相关药品
上腹囊性肿块,誉捷,相关药品
上腹囊性肿块,健择,相关药品
上腹囊性肿块,泽菲,相关药品
上腹囊性肿块,注射用盐酸吉西他滨,相关药品
